Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Aruba,ABW,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,982616126.731236,1140605386.32331,1353312877.28631,1517467571.39906,1577580557.97556,1703201274.47242,1803389601.97603,1935175782.10633,2093935693.11871,2147271243.93681,2172733339.65486,2325843142.0188,2372173575.71739,2401542077.15133,2584457669.54561,2692900552.02825,2667108731.32967,2697003796.23029,2893373340.18533,2882235963.0655,2915061916.68186,3005333289.12687,3060433996.98291,2702865573.66179,2629007178.02497,2717520017.24052,2689383485.56935,2862305919.79842,2861719742.05527,2963128491.62011,3025849510.13709,3191737811.44837,3359554779.02582,3380888935.15673,2752412117.66957,3225070322.88917,,
Africa Eastern and Southern,AFE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,153696395951.599,154061124101.997,166362073647.438,174952800434.92,182972071438.615,192720904306.426,200263824262.332,210788306570.929,219275280627.633,230849432921.613,241684809634.547,254675379939.906,260161568778.879,271727145627.191,287730668405.348,292725749697.389,301074352044.576,304817860041.665,308002403176.958,316633080274.037,333779788574.661,348231432877.972,350030763100.866,350598091087.037,361166167966.022,359564929438.36,367813310380.207,383422760259.86,398815170473.466,410420363022.932,410286442257.145,410754291150.215,402687824200.652,401126470865.687,409247227249.303,426839342917.776,450033976328.176,469983406704.739,478659340003.116,491354738209.394,507834665767.698,526387004814.386,546943734725.075,563877358127.803,594931860099.971,631323392527.386,672746529414.314,716937747261.038,747783864313.694,752610235826.132,791724423412.355,821019735186.785,827342386137.428,862334072835.735,897164454811.515,923143900034.922,946092818435.106,971065288612.667,996417830477.879,1016727800361.63,985792299952.45,1029191280184.5,,
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7555185296.22188,8222480250.84361,8338755822.52123,9275174321.23028,9772082811.87623,11123202207.9391,11559786095.0463,14032485421.8896,16047892927.2921,16116313886.6037,18171512501.5422,19189252517.2649,19712072023.3154,19998156214.3988,20450177379.3119,20991494229.3483,21241130983.2911,22071999789.1576,21553064853.4717,17083574409.0529,,
Africa Western and Central,AFW,GDP (constant 2015 US$),NY.GDP.MKTP.KD,105675520010.086,107614725185.905,111674919132,119808187265.645,126269089947.96,131391307266.669,129016694557.93,116636349572.333,118322842100.936,136726557536.027,161287034862.944,178762840247.812,184389940213.419,192177208146.492,211889841686.621,207248732042.621,225035851186.216,235695525939.949,230453400070.248,242536451944.044,247419999865.808,230139148199.861,222366772938.163,207763603487.986,208900898562.958,220503595410.54,223601838432.026,226867458272.281,237897134931.85,243296404383.549,259354450336.602,262247172324.816,269349855204.846,266206258087.698,265378123232.429,270452754966.73,282963623103.575,294919593482.439,305241500046.662,309560896037.801,321149823961.132,337906338900.478,371487973574.578,392039106506.51,423491767068.06,448278282461.461,472394602738.3,498561157870.96,529885898299.305,563207144266.338,602436924560.156,631667455770.567,664107266807.504,704675972275.924,746466426129.89,766957955078.105,767829886483.034,785533152750.935,808676330965.498,834480213118.689,826966704365.779,859759230129.68,,
Angola,AGO,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,22133389550.5542,21159520140.6011,21159520140.6011,22048220288.778,23371113983.4687,24189102853.7176,24890587257.9629,25906807369.5075,27494607219.4406,27506050876.8918,26557064977.2921,26820340911.2945,25254494115.3102,19197603368.7555,19454729048.957,22372938411.9159,25403211915.5071,27251112007.2188,28529501580.986,29151869724.6872,30042349802.0514,31305930600.9727,35584101640.5913,36648066279.645,40661029539.4454,46772382275.3821,52174592427.1967,59484252830.737,66128643868.489,66697350207.1816,69938841426.3426,72365719224.7854,78545751648.6805,82433766353.3677,86407073890.4684,87219300384.5072,84969042437.6887,84841588874.3396,83724808772.3459,83138735112.7792,78482965946.1149,79346278571.5219,,
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,4650625160.50326,4917833121.03684,5062840191.13157,5118781449.54479,5054714952.70562,5144721429.16823,5434741886.98793,5391924672.21704,5315357203.66803,5838204918.03678,5279159422.70218,3800881722.9158,3527708137.74186,3864936281.67144,4185836785.19754,4743487914.02322,5175145287.46805,4610020246.05598,5017058468.9282,5663797624.70068,6057217275.07,6559561240.44323,6857137320.92933,7236243583.8751,7635298386.75535,8057257368.12833,8532849798.21543,9043392345.97121,9721650518.61472,10047742806.5926,10420206418.1606,10685442992.5982,10836881664.049,10945469119.1889,11139690870.3865,11386850129.8411,11764322012.1433,12211628287.161,12702457551.4349,12967692915.4374,12516205780.1976,13582023423.9986,,
Andorra,AND,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,859118311.600388,899062719.909445,972334025.37659,1048063942.04979,1106952451.17827,1112954410.01446,1149724053.64059,1182359839.72935,1199657766.29999,1200156310.41977,1226664494.22647,1225039476.43796,1240309117.1029,1262264055.97007,1284791514.56911,1314617089.20216,1357385813.24002,1432681662.62957,1505667139.97645,1578346208.51994,1638029596.10849,1679733887.34562,1695342210.46359,1677855020.20559,1717841363.19786,1765210866.50133,1847288558.72479,2014794627.07375,2079163152.69985,2164389691.24157,2240757202.45755,2422692295.39982,2532836662.47081,2753046641.70271,2977025605.91611,3137719374.5448,3288602531.52017,3339680716.04543,3154021640.92742,2986768713.36079,2927781285.72513,2927545020.99495,2781915941.59078,2683224788.58295,2750425228.26783,2789870187.50693,2893365390.02848,2903378514.30766,2949506390.20052,3008955096.59511,2672435365.90459,2911602777.05832,,
Arab World,ARB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,567574411793.959,657030677437.643,710449480151.83,706184303899.027,784053272642.072,855258209382.832,884334249293.222,810581767550.372,760042591600.428,769966476334.131,754162952987.753,787651407515.586,787074274362.96,832472503334.222,850723530058.901,953754956562.293,976565848384.079,1027344289939.07,1059881083978.66,1094653208950.63,1128165103066.25,1181150621126.51,1237357480633.35,1300668515977.99,1324558381034.58,1411524583438.96,1435526781675.37,1445249393247.76,1515707380783.25,1650107160293.99,1741244506297.61,1847239984918.69,1931669452952.04,2038983989024.79,2046902047748.26,2144085081645.48,2213714537511.91,2327672870854.28,2387861774458.22,2457958394529.89,2538925219911.17,2628251014717,2656014087984.32,2719331466105.37,2753440246905.58,2621424532973.89,2717645709810.99,,
United Arab Emirates,ARE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,55440304003.2723,64602843492.3915,78453260408.0621,77206164776.0333,93360453082.9074,115650051111.873,121038391316.821,112905439098.15,107547149398.043,111867265991.954,107846223385.251,91714438011.5944,94816203529.6667,92333054670.9465,103725006573.838,122735710773.458,123791338462.843,127932090478.161,129545558427.333,138479212577.091,147740545089.975,156307138856.69,169109316633.036,169603106280.705,174525350772.927,193466070868.313,196172825704.592,200946606691.779,218630994829.774,239546190419.36,251176496194.6,275885531321.098,284670803071.07,293757029030.969,278355577403.504,282817199910.397,302412213913.11,316857313553.72,332876224059.313,346742821770.78,370275469560.166,390868305567.669,393741456191.578,398914879841.349,403336245487.99,383342656303.629,398355489726.86,,
Argentina,ARG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,150797810295.884,158982878499.524,157628310158.567,149261089202.812,164381681831.918,181755894112.433,180556802912.311,186320169964.576,195305461613.156,214210104570.482,220734180309.322,233223609573.669,237021461356.448,243685921868.226,257171024124.452,257097956426.363,251909073021.038,269376820356.431,257238364643.474,283535234199.299,287841521828.634,272903153784.458,270895516738.16,282677015450.457,287117132733.287,272218554792.861,288969188904.054,296785426416.393,293550663101.649,272541389928.67,265817211205.311,290094591011.844,313120244489.89,338817957426.035,358592053441.545,348389357874.283,367643757074.802,397463514160.866,412766570325.764,398792535409.293,395646066535.875,378202665751.853,336999433710.193,366780211148.674,399898899166.738,435296589745.339,470325565798.353,512690850741.56,533491913656.279,501917060966.235,552738161802.463,585924294024.785,579910247223.428,593858966307.156,578937574935.696,594749285413.212,582376550428.09,598790850843.677,583118120294.002,571450737224.442,514630046744.607,568142562825.363,,
