Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Aruba,ABW,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,398268156.424581,473296089.385475,579608938.547486,684245810.055866,757039106.145251,864301675.977654,948994413.407821,1065363128.49162,1225810055.86592,1305474860.3352,1362067039.10615,1508659217.87709,1659776536.31285,1680223463.68715,1849162011.17318,1839385474.86034,1826312849.16201,1990837988.82682,2180446927.3743,1880837988.82682,2363966480.44693,2293016759.77654,2726368715.0838,2464860335.19553,2313407821.22905,2391955307.26257,2498994413.40782,2563575418.99441,2688324022.34637,2838379888.26816,2848547486.03352,2921620111.73184,2987486033.51955,3215655666.91838,2541919139.36196,3033186790.617,,
Africa Eastern and Southern,AFE,GNI (current US$),NY.GNP.MKTP.CD,17308771402.38,18088580085.177,19208598271.085,20828316814.0373,22517019039.6703,25025065645.2395,27150703538.0061,29960949930.5048,32362915052.9032,36399402770.4023,39756604821.221,43608236251.3616,46957575076.3114,61194776719.6287,75757561386.2292,80392891738.4265,80424172245.5392,89802912252.7585,98260681338.7049,117960489976.072,154594160602.32,161384717699.469,152280752090.735,163287108184.017,150987320728.209,124780555687.258,139824842010.65,172875358663.534,188367336948.732,203363627335.856,235172242506.161,254023511900.303,220953467417.829,219650297335.749,227683665138.849,258375750023.572,256899352892.915,270721093541.585,254902962229.524,250521374293.238,271371011640.667,246418459880.798,252796078190.837,338484858255.919,421909218697.563,491441475605.118,550554443344.247,627636101809.975,666819060123.249,689284110781.134,820750425205.896,920925284043.39,934755958651.474,942818897118.398,965601633286.837,891569220688.057,866008513611.508,997738679788.48,984794487346.409,979054393088.417,910885407570.875,1056906998203.81,,
Afghanistan,AFG,GNI (current US$),NY.GNP.MKTP.CD,548888848.888889,560000022.222222,557777806.666667,766666706.666667,815555562.222222,1026666677.77778,1428888871.11111,1708888882.22222,1402222182.22222,1437777737.77778,1784444426.66667,1868886653.33333,1631108937.77778,1771108944.44444,2202222228.88889,2417777777.77778,2611111162.22222,3017777697.77778,3371111037.77778,3775743789.47368,3716553247.16553,3551514995.9596,,,,,,,,,,,,,,,,,,,,,,,,,,,,12120176204.6696,15661395678.8993,18170576453.7869,20235386309.096,20636233966.8638,20548204590.5935,20178945326.1251,18199126227.7945,19145017023.3571,18610257350.0941,19205014964.7728,20332384124.9184,14910923351.9261,,
Africa Western and Central,AFW,GNI (current US$),NY.GNP.MKTP.CD,10172829166.9437,10894064401.9494,11765240740.5961,12553333439.21,13679887109.0003,14637803511.2231,15662708248.5866,14067504612.1295,14379204475.5568,16344983087.6215,22713419430.5648,19812710232.0986,23957581937.0531,29588732498.8048,42652772863.7366,49907185734.6806,60300909529.9101,63524069317.8786,69762619217.8786,86672628932.1024,106188261694.948,207147314537.183,184062931114.291,135270119597.727,111796205664.701,113574738332.927,104318013336.899,105878622124.49,106015925719.008,96712782935.4312,114943692940.365,111154040686.865,111522857170.029,92596051764.7595,81242644284.3723,102164589741.81,113688089972.159,115259014470.366,117664771908.81,126640186844.707,124244903556.512,132154322515.336,159626978707.027,183645485320.264,227406383639.102,280286104871.618,375954022035.442,435176782220.718,529428718581.281,473496240190.689,554863660589.58,630725055799.97,688942945896.251,779732523842.657,859059393898.963,744747821953.265,671663931057.191,659374171936.339,733476905758.021,766096365238.165,756339070759.133,806929481274.723,,
Angola,AGO,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,6684491978.60963,6684491978.60963,6684491978.60963,6684491978.60963,10026737967.9144,10026737967.9144,10603784541.197,3498025673.08989,3237547175.39543,1943279029.73498,4771491965.00864,5829677653.68921,6730621459.63535,5537462252.37138,4780892936.47718,7448734815.41876,7375076435.20009,13650938445.0336,16086223836.3248,21068458073.4821,32940067469.7192,46203157420.6682,57667405227.2244,74821118401.9383,63484003235.9237,73815311613.6971,99943407585.4623,114825042772.569,123741138170.432,128908796710.662,82784875170.84,47241256785.261,64733551804.3901,71783442934.3182,63042950935.8768,49106329133.1831,62080347392.0665,,
Albania,ALB,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1860538011.88334,1898450133.4326,2097426250,2081196250,2051436250,2252990000,2026653750,1077859027.77778,617074990.170926,1219215468.95285,1894751525.25858,2436364853.42107,3271323621.58836,2308847102.93115,2622487165.91691,3287389862.41854,3585007221.82101,4048094111.09564,4457186384.03827,5762066193.23098,7353974652.91914,8214104793.91771,9158292067.34935,10975296230.4775,12946374021.6891,11852739420.9823,11807765688.1544,12894104016.2227,12228065466.1217,12996539294.3261,13349419700.4171,11521808375.0854,12053832974.203,13051480688.4971,15137993151.167,15200249154.3075,14881636667.2803,18006189075.0115,,
Andorra,AND,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3462263517.29542,,,,
Arab World,ARB,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,47472309573.4799,53984442182.3026,64178403704.915,80935982164.0051,158458683485.896,180660949687.645,227427847496.837,257986461352.939,283583556681.907,377354460715.784,512112178628.143,517083305379.073,486792231570.457,463411053904.718,471121556729.905,464731886413.392,455575008798.285,485338587737.004,487580661854.749,519488936075.949,731545415354.358,481296758088.211,476620192851.609,485447616034.075,502509621453.747,559132924085.846,606563189038.421,655373690616.563,637329163036.28,700060825263.257,796751143171.658,784177277265.188,792431578095.489,873515697576.097,1044470243177.51,1279155637519.99,1534442911198.39,1797208815600.21,2253740939050.3,1965915327519.56,2294987001115.34,2514609888367.63,2768167942157.45,2829934515333.42,2890353459976.74,2545737663441.27,2529984453637.81,2609725956810.6,2800594249869.81,2814308669159.66,2505817619148.06,,,
United Arab Emirates,ARE,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109429271613.342,108376310415.248,110737372362.151,124291899251.191,148532334921.715,183503785187.202,226854458815.521,266289176310.415,319278564002.723,256161470388.019,289703586085.773,350801388536.419,384909648869.397,400681429679.523,414764318426.712,372018151656.831,371351990633.321,393294203608.06,428473530175.213,420059156724.283,349010115405.013,,,
Argentina,ARG,GNI (current US$),NY.GNP.MKTP.CD,,,25083407626.9357,18744951947.7684,26267861213.2167,29078234021.4454,29796191127.5341,24344243038.8777,26044571826.7842,31036571602.8723,30396317996.8419,33634600190.9299,34199500220.4044,52722220653.6761,72679890116.6394,53148109438.0634,51185002822.6107,56339203222.3998,57716474115.7083,68626165139.2133,76286574003.3819,76842107526.2031,79243829293.0471,98072174234.6778,74996801894.5786,83672502113.7452,105922220616.456,105942857983.875,120715908148.068,70219462542.1818,135150027050.147,183857364656.529,224530580052.493,233743662862.863,253743263100,253362890700,266647700700,286641204400,291542201400,276059280100,276655968900,260969968100,92763789032.7018,122451951871.839,146361588317.154,176153368006.277,224897476611.227,279994211725.862,352615480862.974,322744327792.305,409192468872.686,515009551032.822,533073608485.977,540185748561.537,515532241212.846,583615452086.538,545250717485.872,627200729011.574,506093900950.347,430166720596.329,375535785072.697,477411894672.847,,
Armenia,ARM,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2173850348.63405,2067532467.53247,1063520722.19943,1200012843.51417,1311138636.33807,1507838735.18942,1641698946.23708,1736697182.63351,1952541820.81269,1900438465.96643,1970535935.80291,2182070540.84243,2458706347.955,2899936467.50868,3724967487.29965,5106476347.91383,6686478486.4643,9703722526.74893,12353321001.708,9006718249.36627,9718566137.71057,10502184909.0834,11042356185.4721,11804012824.1465,12131728948.9464,10981745196.8255,10791194736.213,11933013744.2929,12658282415.5078,13798995614.7414,12445446287.6346,13455052221.0856,,
