Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Aruba,ABW,Population ages 65 and above, total,SP.POP.65UP.TO,1296,1374,1452,1531,1610,1694,1789,1898,2025,2164,2310,2466,2624,2789,2962,3134,3311,3482,3634,3756,3861,4010,4179,4297,4371,4405,4415,4436,4461,4461,4439,4424,4464,4580,4744,4936,5140,5368,5620,5883,6165,6484,6816,7139,7477,7828,8166,8498,8846,9225,9642,10109,10623,11169,11741,12352,13005,13690,14421,15189,15921,16560,,
Africa Eastern and Southern,AFE,Population ages 65 and above, total,SP.POP.65UP.TO,3884927,3963281,4045930,4133338,4229377,4334314,4445426,4566248,4698156,4836937,4981601,5133729,5289041,5451678,5623098,5797248,5979432,6163755,6365235,6585828,6788013,6992137,7213166,7419984,7623447,7843649,8071350,8317487,8547013,8760029,8995610,9239381,9480429,9718941,9943542,10168782,10421858,10674961,10920256,11183222,11472365,11777285,12091084,12409534,12741335,13092751,13460124,13842994,14238505,14661275,15136416,15661403,16224802,16818036,17441049,18093119,18770647,19480160,20226592,20993871,21695407,22251575,,
Afghanistan,AFG,Population ages 65 and above, total,SP.POP.65UP.TO,244277,247678,251049,254483,258112,262013,266251,270892,275870,281033,286354,291874,297584,303564,309807,316074,322143,327902,332623,331176,315231,278654,248660,241640,244016,244616,239021,233845,233853,240097,240267,241354,271765,317195,351470,374319,390765,406736,422731,440223,446519,449855,480661,519460,540942,561314,585793,597256,612481,639527,663424,694340,728754,758025,788186,812047,830919,855377,883085,913174,941940,964014,,
Africa Western and Central,AFW,Population ages 65 and above, total,SP.POP.65UP.TO,3211093,3284876,3369164,3454519,3538245,3619685,3699003,3774160,3849772,3929071,4009043,4087161,4168805,4259731,4359771,4468837,4587691,4715791,4850016,4988165,5114508,5234650,5370953,5506864,5644530,5796285,5951556,6111467,6279771,6452941,6620466,6785593,6953679,7118643,7279192,7442971,7610151,7781339,7956516,8131579,8314079,8507112,8710317,8921958,9137273,9358329,9588369,9827610,10077753,10340956,10612763,10884952,11150588,11393220,11606801,11850247,12146438,12464367,12804412,13168189,13505296,13786800,,
Angola,AGO,Population ages 65 and above, total,SP.POP.65UP.TO,165004,168371,171032,173448,175477,176948,177721,177807,177499,177369,178035,179742,182233,184981,187686,190124,192245,194294,196455,198841,201490,204468,207882,211424,215113,219361,224189,229050,234236,240540,247897,256933,267153,278286,291348,306387,323006,340854,359225,378146,397810,418137,439054,460583,482399,503693,524490,544990,565384,585995,607169,628850,651074,672911,693611,716362,742232,770035,800457,833428,865789,895190,,
Albania,ALB,Population ages 65 and above, total,SP.POP.65UP.TO,88308,90070,92083,94087,95938,97384,98353,99073,99987,101179,102441,104074,106277,108798,111591,114617,117639,120728,123666,126485,129692,133258,137328,141953,147225,153063,159214,165897,172736,181260,188581,191830,195611,199920,204695,209873,215403,221269,227498,234216,241623,249263,259583,270520,281761,292713,302864,312345,321315,329793,338334,347549,357357,367497,378419,389858,401830,413811,425666,438134,449008,456453,,
Andorra,AND,Population ages 65 and above, total,SP.POP.65UP.TO,643,658,665,672,688,714,748,800,868,945,1028,1113,1202,1301,1412,1541,1680,1828,1992,2177,2379,2590,2791,2986,3198,3433,3695,3991,4326,4693,5081,5414,5701,6014,6348,6708,7073,7426,7768,8093,8406,8652,8839,9044,9254,9450,9395,9062,8673,8235,7742,7625,7936,8297,8668,9032,9380,9735,10134,10568,11030,11488,,
Arab World,ARB,Population ages 65 and above, total,SP.POP.65UP.TO,3255302,3359786,3479601,3599832,3719199,3838577,3949747,4053272,4158265,4263248,4367397,4472573,4580373,4690779,4803311,4936178,5108368,5268971,5390075,5524258,5674663,5813135,5951148,6101840,6268274,6447867,6646274,6856536,7056173,7267222,7522177,7743481,7991098,8264206,8547839,8824745,9146334,9518502,9852972,10143307,10428385,10705879,10981321,11243882,11494393,11740670,11981229,12229141,12502211,12811576,13172573,13601018,14096101,14650733,15233525,15841676,16488985,17189485,17957646,18772901,19567324,20331852,,
United Arab Emirates,ARE,Population ages 65 and above, total,SP.POP.65UP.TO,3074,3084,3098,3114,3121,3128,3133,3129,3353,3920,4652,5469,6353,7338,8483,9910,11018,11591,12037,12284,12408,12874,13699,14497,15238,15954,16638,17317,18051,18835,19668,20565,21540,22578,23624,24583,25446,26295,27208,28242,29399,30598,31702,32580,33115,33100,30895,25463,18743,13729,14927,21243,28689,37483,47871,60097,74462,91391,111481,135505,153610,164678,,
Argentina,ARG,Population ages 65 and above, total,SP.POP.65UP.TO,1052128,1097924,1145052,1193168,1242481,1293027,1345970,1400672,1455032,1507621,1561503,1616144,1669779,1724760,1781547,1840473,1900984,1964347,2030520,2096135,2159607,2221825,2282199,2341224,2400350,2461515,2527716,2599070,2675514,2756132,2839358,2926611,3015838,3102722,3188385,3270729,3347471,3417416,3482773,3547653,3611400,3674270,3737901,3797532,3858383,3927656,4001472,4074276,4149779,4234472,4288391,4383484,4485650,4589823,4691726,4793031,4890848,4990474,5098961,5213159,5321539,5415468,,
