,Country Name,Year,population (millions)
0,ABW,1960,0.054608
1,AFE,1960,130.692579
2,AFG,1960,8.622466
3,AFW,1960,97.25629
4,AGO,1960,5.357195
5,ALB,1960,1.6088
6,AND,1960,0.009443
7,ARB,1960,93.359407
8,ARE,1960,0.133426
9,ARG,1960,20.349744
10,ARM,1960,1.904148
11,ASM,1960,0.020085
12,ATG,1960,0.055342
13,AUS,1960,10.276477
14,AUT,1960,7.047539
15,AZE,1960,3.8945
16,BDI,1960,2.746628
17,BEL,1960,9.153489
18,BEN,1960,2.512284
19,BFA,1960,4.783259
20,BGD,1960,50.396429
21,BGR,1960,7.867374
22,BHR,1960,0.160691
23,BIH,1960,3.262539
24,BLR,1960,8.198
25,BLZ,1960,0.091403
26,BMU,1960,0.0444
27,BOL,1960,3.707515
28,BRA,1960,73.092515
29,BRB,1960,0.23255
30,BRN,1960,0.085346
31,BTN,1960,0.221266
32,BWA,1960,0.512865
33,CAF,1960,1.679728
34,CAN,1960,17.909356
35,CEB,1960,91.401764
36,CHE,1960,5.327827
37,CHI,1960,0.109186
38,CHL,1960,8.14182
39,CHN,1960,667.07
40,CIV,1960,3.708661
41,CMR,1960,5.117608
42,COL,1960,15.687688
43,COM,1960,0.194852
44,CPV,1960,0.209849
45,CRI,1960,1.346302
46,CSS,1960,4.209141
47,CUB,1960,7.267395
48,CUW,1960,0.124826
49,CYM,1960,0.008473
50,CYP,1960,0.585725
51,CZE,1960,9.602006
52,DEU,1960,72.8149
53,DJI,1960,0.08594
54,DMA,1960,0.059379
55,DNK,1960,4.579603
56,DOM,1960,3.298021
57,DZA,1960,11.394307
58,EAP,1960,896.482332
59,EAR,1960,979.461502
60,EAS,1960,1043.333636
61,ECA,1960,255.726092
62,ECS,1960,666.27366
63,ECU,1960,4.618158
64,EMU,1960,265.244987
65,ERI,1960,0.993568
66,ESP,1960,30.455
67,EST,1960,1.211537
68,ETH,1960,21.73971
69,EUU,1960,356.947129
70,FCS,1960,244.896253
71,FIN,1960,4.429634
72,FJI,1960,0.401841
73,FRA,1960,46.649927
74,FRO,1960,0.034154
75,GAB,1960,0.51334
76,GBR,1960,52.4
77,GEO,1960,3.6456
78,GHA,1960,6.91151
79,GIB,1960,0.021822
80,GIN,1960,3.516814
81,GNB,1960,0.577933
82,GNQ,1960,0.267351
83,GRC,1960,8.331725
84,GRD,1960,0.093772
85,GRL,1960,0.0325
86,GTM,1960,4.12888
87,GUM,1960,0.072374
88,GUY,1960,0.57199
89,HIC,1960,779.546518
90,HND,1960,2.078617
91,HPC,1960,163.453961
92,HRV,1960,4.140181
93,HTI,1960,3.901139
94,HUN,1960,9.983967
95,IBD,1960,1904.346683
96,IBT,1960,2298.062888
97,IDA,1960,393.716205
98,IDB,1960,120.38076
99,IDN,1960,88.382881
100,IDX,1960,273.335445
101,IMN,1960,0.048793
102,IND,1960,445.954579
104,IRL,1960,2.8286
105,IRQ,1960,7.084678
106,ISL,1960,0.175574
107,ISR,1960,2.11402
108,ITA,1960,50.1997
109,JAM,1960,1.642331
110,JOR,1960,0.847936
111,JPN,1960,93.216
112,KAZ,1960,9.319283
113,KEN,1960,7.751435
114,KGZ,1960,2.1723
115,KHM,1960,5.541676
116,KIR,1960,0.047093
117,KNA,1960,0.05666
118,KWT,1960,0.305415
119,LAC,1960,195.283102
120,LAO,1960,2.122532
121,LBN,1960,1.798092
122,LBR,1960,1.137026
123,LBY,1960,1.426986
124,LCA,1960,0.091614
125,LCN,1960,219.142626
126,LDC,1960,243.96889
127,LIC,1960,143.421125
128,LIE,1960,0.016472
129,LKA,1960,9.874476
130,LMC,1960,989.601453
131,LMY,1960,2243.861384
132,LSO,1960,0.737838
133,LTE,1960,1095.63933
134,LTU,1960,2.77855
135,LUX,1960,0.31397
136,LVA,1960,2.120979
137,MAF,1960,0.004135
138,MAR,1960,11.769774
139,MCO,1960,0.021797
140,MDA,1960,2.074015
141,MDG,1960,5.073342
142,MDV,1960,0.09165
143,MEA,1960,104.958259
144,MEX,1960,36.268055
145,MHL,1960,0.015374
146,MIC,1960,2101.462566
147,MKD,1960,1.462368
148,MLI,1960,5.346792
149,MLT,1960,0.32655
150,MMR,1960,21.720697
151,MNA,1960,97.179656
152,MNE,1960,0.480579
153,MNG,1960,0.977903
154,MNP,1960,0.008702
155,MOZ,1960,6.788375
156,MRT,1960,0.838478
157,MUS,1960,0.676683
158,MWI,1960,3.621081
159,MYS,1960,7.833782
160,NAC,1960,198.624756
161,NAM,1960,0.590181
162,NCL,1960,0.079
163,NER,1960,3.497431
164,NGA,1960,44.928342
165,NIC,1960,1.789684
166,NLD,1960,11.486631
167,NOR,1960,3.581239
168,NPL,1960,10.167941
169,NRU,1960,0.004582
170,NZL,1960,2.3718
171,OED,1960,807.630906
172,OMN,1960,0.536553
173,OSS,1960,9.080716
174,PAK,1960,45.954226
175,PAN,1960,1.126989
176,PER,1960,10.172207
177,PHL,1960,28.486871
178,PLW,1960,0.009446
