,NOC,Year,Bronze,Gold,Silver,Total
0,AHO,1988,0.0,0.0,1.0,1.0
1,ALG,1992,0.0,1.0,0.0,1.0
2,ALG,1996,1.0,2.0,0.0,3.0
3,ALG,2000,3.0,1.0,1.0,5.0
4,ALG,2008,1.0,0.0,1.0,2.0
5,ALG,2012,0.0,1.0,0.0,1.0
6,ALG,2016,0.0,0.0,2.0,2.0
7,ANZ,1908,2.0,1.0,2.0,5.0
8,ANZ,1912,3.0,2.0,2.0,7.0
9,ARG,1924,2.0,1.0,3.0,6.0
10,ARG,1928,1.0,3.0,3.0,7.0
11,ARG,1932,0.0,3.0,1.0,4.0
12,ARG,1936,3.0,2.0,2.0,7.0
13,ARG,1948,1.0,3.0,3.0,7.0
14,ARG,1952,2.0,1.0,2.0,5.0
15,ARG,1956,0.0,0.0,1.0,1.0
16,ARG,1960,1.0,0.0,1.0,2.0
17,ARG,1964,0.0,0.0,1.0,1.0
18,ARG,1968,2.0,0.0,0.0,2.0
19,ARG,1972,0.0,0.0,1.0,1.0
20,ARG,1988,1.0,0.0,1.0,2.0
21,ARG,1992,1.0,0.0,0.0,1.0
22,ARG,1996,1.0,0.0,2.0,3.0
23,ARG,2000,2.0,0.0,2.0,4.0
24,ARG,2004,4.0,2.0,0.0,6.0
25,ARG,2008,4.0,2.0,0.0,6.0
26,ARG,2012,2.0,1.0,1.0,4.0
27,ARG,2016,0.0,3.0,1.0,4.0
28,ARM,1996,0.0,1.0,1.0,2.0
29,ARM,2000,1.0,0.0,0.0,1.0
30,ARM,2008,5.0,0.0,0.0,5.0
31,ARM,2012,2.0,0.0,1.0,3.0
32,ARM,2016,0.0,1.0,3.0,4.0
33,AUS,1896,1.0,2.0,0.0,3.0
34,AUS,1900,3.0,2.0,0.0,5.0
35,AUS,1904,1.0,0.0,3.0,4.0
36,AUS,1906,3.0,0.0,0.0,3.0
37,AUS,1920,1.0,0.0,2.0,3.0
38,AUS,1924,2.0,3.0,1.0,6.0
39,AUS,1928,1.0,1.0,2.0,4.0
40,AUS,1932,1.0,3.0,1.0,5.0
41,AUS,1936,1.0,0.0,0.0,1.0
42,AUS,1948,5.0,2.0,6.0,13.0
43,AUS,1952,3.0,6.0,2.0,11.0
44,AUS,1956,13.0,13.0,8.0,34.0
45,AUS,1960,5.0,8.0,8.0,21.0
46,AUS,1964,10.0,6.0,2.0,18.0
47,AUS,1968,5.0,5.0,7.0,17.0
48,AUS,1972,2.0,7.0,7.0,16.0
49,AUS,1976,4.0,0.0,1.0,5.0
50,AUS,1980,5.0,2.0,2.0,9.0
51,AUS,1984,12.0,4.0,8.0,24.0
52,AUS,1988,4.0,3.0,6.0,13.0
53,AUS,1992,10.0,7.0,9.0,26.0
54,AUS,1996,23.0,9.0,9.0,41.0
55,AUS,2000,16.0,16.0,25.0,57.0
56,AUS,2004,17.0,17.0,16.0,50.0
57,AUS,2008,17.0,14.0,15.0,46.0
58,AUS,2012,12.0,7.0,16.0,35.0
59,AUS,2016,10.0,8.0,11.0,29.0
60,AUT,1896,2.0,2.0,1.0,5.0
61,AUT,1900,3.0,0.0,3.0,6.0
62,AUT,1904,1.0,1.0,1.0,3.0
63,AUT,1906,3.0,3.0,3.0,9.0
64,AUT,1908,1.0,0.0,0.0,1.0
65,AUT,1912,2.0,0.0,2.0,4.0
66,AUT,1924,1.0,0.0,3.0,4.0
67,AUT,1928,1.0,3.0,0.0,4.0
68,AUT,1932,3.0,1.0,1.0,5.0
69,AUT,1936,5.0,5.0,7.0,17.0
70,AUT,1948,4.0,2.0,2.0,8.0
71,AUT,1952,1.0,0.0,1.0,2.0
72,AUT,1956,2.0,0.0,0.0,2.0
73,AUT,1960,0.0,1.0,1.0,2.0
74,AUT,1968,2.0,0.0,2.0,4.0
75,AUT,1972,2.0,0.0,1.0,3.0
76,AUT,1976,1.0,0.0,0.0,1.0
77,AUT,1980,1.0,1.0,2.0,4.0
78,AUT,1984,0.0,1.0,1.0,2.0
79,AUT,1988,0.0,1.0,0.0,1.0
80,AUT,1992,0.0,0.0,2.0,2.0
81,AUT,1996,2.0,0.0,1.0,3.0
82,AUT,2000,0.0,2.0,1.0,3.0
83,AUT,2004,1.0,2.0,4.0,7.0
84,AUT,2008,2.0,0.0,1.0,3.0
85,AUT,2016,1.0,0.0,0.0,1.0
86,AZE,1996,0.0,0.0,1.0,1.0
87,AZE,2000,0.0,2.0,0.0,2.0
88,AZE,2004,4.0,1.0,0.0,5.0
89,AZE,2008,1.0,1.0,2.0,4.0
90,AZE,2012,4.0,2.0,2.0,8.0
91,AZE,2016,4.0,1.0,7.0,12.0
92,BAH,1956,1.0,0.0,0.0,1.0
93,BAH,1964,0.0,1.0,0.0,1.0
94,BAH,1992,1.0,0.0,0.0,1.0
95,BAH,1996,0.0,0.0,1.0,1.0
96,BAH,2000,1.0,2.0,0.0,3.0
97,BAH,2004,1.0,1.0,0.0,2.0
98,BAH,2008,1.0,0.0,1.0,2.0
99,BAH,2012,0.0,1.0,0.0,1.0
100,BAH,2016,1.0,1.0,0.0,2.0
101,BAR,2000,1.0,0.0,0.0,1.0
102,BDI,1996,0.0,1.0,0.0,1.0
103,BDI,2016,0.0,0.0,1.0,1.0
104,BEL,1900,4.0,6.0,7.0,17.0
105,BEL,1906,3.0,2.0,2.0,7.0
106,BEL,1908,2.0,1.0,5.0,8.0
107,BEL,1912,3.0,2.0,1.0,6.0
108,BEL,1920,14.0,15.0,11.0,40.0
109,BEL,1924,3.0,3.0,7.0,13.0
110,BEL,1928,2.0,0.0,1.0,3.0
111,BEL,1932,1.0,0.0,0.0,1.0
112,BEL,1936,3.0,0.0,0.0,3.0
113,BEL,1948,3.0,2.0,2.0,7.0
114,BEL,1952,0.0,2.0,2.0,4.0
115,BEL,1956,0.0,0.0,2.0,2.0
116,BEL,1960,2.0,0.0,2.0,4.0
117,BEL,1964,1.0,2.0,0.0,3.0
118,BEL,1968,1.0,0.0,1.0,2.0
119,BEL,1972,0.0,0.0,2.0,2.0
120,BEL,1976,3.0,0.0,3.0,6.0
121,BEL,1980,0.0,1.0,0.0,1.0
122,BEL,1984,2.0,1.0,1.0,4.0
123,BEL,1988,1.0,0.0,0.0,1.0
124,BEL,1992,1.0,0.0,1.0,2.0
125,BEL,1996,0.0,2.0,2.0,4.0
126,BEL,2000,1.0,0.0,2.0,3.0
127,BEL,2004,2.0,1.0,0.0,3.0
128,BEL,2008,0.0,1.0,1.0,2.0
129,BEL,2012,1.0,0.0,1.0,2.0
130,BEL,2016,1.0,2.0,2.0,5.0
131,BER,1976,1.0,0.0,0.0,1.0
132,BLR,1996,7.0,1.0,6.0,14.0
133,BLR,2000,11.0,3.0,3.0,17.0
134,BLR,2004,6.0,2.0,5.0,13.0
135,BLR,2008,9.0,4.0,5.0,18.0
136,BLR,2012,5.0,2.0,5.0,12.0
137,BLR,2016,3.0,1.0,4.0,8.0
138,BOH,1900,0.0,0.0,1.0,1.0
139,BOH,1906,2.0,0.0,0.0,2.0
140,BOH,1908,2.0,0.0,0.0,2.0
141,BOT,2012,0.0,0.0,1.0,1.0
142,BRA,1920,1.0,1.0,1.0,3.0
143,BRA,1948,1.0,0.0,0.0,1.0
144,BRA,1952,2.0,1.0,0.0,3.0
145,BRA,1956,0.0,1.0,0.0,1.0
146,BRA,1960,2.0,0.0,0.0,2.0
147,BRA,1964,1.0,0.0,0.0,1.0
148,BRA,1968,2.0,0.0,1.0,3.0
149,BRA,1972,1.0,0.0,0.0,1.0
150,BRA,1976,2.0,0.0,0.0,2.0
151,BRA,1980,2.0,2.0,0.0,4.0
152,BRA,1984,1.0,1.0,5.0,7.0
153,BRA,1988,3.0,1.0,2.0,6.0
154,BRA,1992,0.0,2.0,1.0,3.0
155,BRA,1996,9.0,3.0,3.0,15.0
156,BRA,2000,6.0,0.0,6.0,12.0
157,BRA,2004,3.0,5.0,2.0,10.0
158,BRA,2008,8.0,3.0,4.0,15.0
159,BRA,2012,9.0,3.0,5.0,17.0
160,BRA,2016,5.0,7.0,6.0,18.0
161,BRN,2012,1.0,0.0,0.0,1.0
162,BRN,2016,0.0,1.0,1.0,2.0
163,BUL,1952,1.0,0.0,0.0,1.0
164,BUL,1956,1.0,1.0,3.0,5.0
165,BUL,1960,3.0,1.0,3.0,7.0
166,BUL,1964,2.0,3.0,5.0,10.0
167,BUL,1968,2.0,2.0,4.0,8.0
168,BUL,1972,5.0,6.0,10.0,21.0
169,BUL,1976,7.0,6.0,9.0,22.0
170,BUL,1980,16.0,8.0,16.0,40.0
171,BUL,1988,12.0,9.0,12.0,33.0
172,BUL,1992,5.0,3.0,7.0,15.0
173,BUL,1996,5.0,3.0,7.0,15.0
174,BUL,2000,2.0,5.0,6.0,13.0
175,BUL,2004,8.0,2.0,1.0,11.0
176,BUL,2008,0.0,1.0,1.0,2.0
177,BUL,2012,0.0,0.0,1.0,1.0
178,BUL,2016,1.0,0.0,1.0,2.0
179,CAN,1900,1.0,1.0,0.0,2.0
180,CAN,1904,1.0,4.0,1.0,6.0
181,CAN,1906,0.0,1.0,1.0,2.0
182,CAN,1908,9.0,3.0,3.0,15.0
183,CAN,1912,3.0,3.0,2.0,8.0
184,CAN,1920,3.0,3.0,3.0,9.0
185,CAN,1924,1.0,0.0,3.0,4.0
186,CAN,1928,7.0,4.0,4.0,15.0
187,CAN,1932,9.0,2.0,5.0,16.0
188,CAN,1936,5.0,1.0,3.0,9.0
189,CAN,1948,2.0,0.0,2.0,4.0
190,CAN,1952,0.0,1.0,2.0,3.0
191,CAN,1956,3.0,2.0,1.0,6.0
192,CAN,1960,0.0,0.0,1.0,1.0
193,CAN,1964,1.0,1.0,2.0,4.0
194,CAN,1968,1.0,1.0,3.0,5.0
195,CAN,1972,2.0,0.0,2.0,4.0
196,CAN,1976,6.0,0.0,5.0,11.0
197,CAN,1984,15.0,10.0,18.0,43.0
198,CAN,1988,5.0,3.0,2.0,10.0
199,CAN,1992,7.0,6.0,4.0,17.0
200,CAN,1996,8.0,3.0,11.0,22.0
201,CAN,2000,8.0,3.0,3.0,14.0
202,CAN,2004,3.0,3.0,6.0,12.0
203,CAN,2008,6.0,3.0,9.0,18.0
204,CAN,2012,9.0,1.0,5.0,15.0
205,CAN,2016,14.0,3.0,3.0,20.0
206,CHI,1928,0.0,0.0,1.0,1.0
207,CHI,1952,0.0,0.0,2.0,2.0
208,CHI,1956,2.0,0.0,2.0,4.0
209,CHI,1988,0.0,0.0,1.0,1.0
210,CHI,2000,1.0,0.0,0.0,1.0
211,CHI,2004,1.0,2.0,0.0,3.0
212,CHI,2008,0.0,0.0,1.0,1.0
213,CHN,1984,9.0,14.0,7.0,30.0
214,CHN,1988,11.0,5.0,11.0,27.0
215,CHN,1992,12.0,16.0,22.0,50.0
216,CHN,1996,12.0,16.0,22.0,50.0
217,CHN,2000,13.0,28.0,16.0,57.0
218,CHN,2004,11.0,32.0,17.0,60.0
219,CHN,2008,26.0,51.0,21.0,98.0
220,CHN,2012,21.0,38.0,26.0,85.0
221,CHN,2016,23.0,26.0,18.0,67.0
222,CIV,1984,0.0,0.0,1.0,1.0
223,CIV,2016,1.0,1.0,0.0,2.0
224,CMR,1968,0.0,0.0,1.0,1.0
225,CMR,2000,0.0,1.0,0.0,1.0
226,CMR,2004,0.0,1.0,0.0,1.0
227,CMR,2008,0.0,1.0,0.0,1.0
228,COL,1972,0.0,0.0,1.0,1.0
229,COL,1984,0.0,0.0,1.0,1.0
230,COL,1988,1.0,0.0,0.0,1.0
231,COL,1992,1.0,0.0,0.0,1.0
232,COL,2000,0.0,1.0,0.0,1.0
233,COL,2004,2.0,0.0,0.0,2.0
234,COL,2008,1.0,0.0,1.0,2.0
235,COL,2012,2.0,1.0,3.0,6.0
236,COL,2016,2.0,3.0,2.0,7.0
237,CRC,1988,0.0,0.0,1.0,1.0
238,CRC,1996,0.0,1.0,0.0,1.0
239,CRC,2000,2.0,0.0,0.0,2.0
240,CRO,1992,0.0,0.0,1.0,1.0
241,CRO,1996,0.0,1.0,1.0,2.0
242,CRO,2000,1.0,1.0,0.0,2.0
243,CRO,2004,2.0,1.0,2.0,5.0
244,CRO,2008,1.0,0.0,2.0,3.0
245,CRO,2012,1.0,3.0,1.0,5.0
246,CRO,2016,1.0,5.0,3.0,9.0
247,CUB,1900,0.0,1.0,1.0,2.0
248,CUB,1904,0.0,4.0,0.0,4.0
249,CUB,1964,0.0,0.0,1.0,1.0
250,CUB,1968,0.0,0.0,4.0,4.0
251,CUB,1972,3.0,3.0,1.0,7.0
252,CUB,1976,3.0,6.0,4.0,13.0
253,CUB,1980,4.0,8.0,7.0,19.0
254,CUB,1992,11.0,14.0,6.0,31.0
255,CUB,1996,6.0,9.0,8.0,23.0
256,CUB,2000,5.0,11.0,11.0,27.0
257,CUB,2004,8.0,9.0,7.0,24.0
258,CUB,2008,8.0,2.0,11.0,21.0
259,CUB,2012,5.0,5.0,3.0,13.0
260,CUB,2016,4.0,5.0,2.0,11.0
261,CYP,2012,0.0,0.0,1.0,1.0
262,CZE,1996,4.0,4.0,3.0,11.0
263,CZE,2000,3.0,2.0,3.0,8.0
264,CZE,2004,5.0,1.0,3.0,9.0
265,CZE,2008,0.0,3.0,3.0,6.0
266,CZE,2012,3.0,4.0,3.0,10.0
267,CZE,2016,7.0,1.0,2.0,10.0
268,DEN,1896,3.0,1.0,2.0,6.0
269,DEN,1900,2.0,2.0,2.0,6.0
270,DEN,1906,1.0,3.0,2.0,6.0
271,DEN,1908,3.0,0.0,2.0,5.0
272,DEN,1912,5.0,1.0,6.0,12.0
273,DEN,1920,1.0,3.0,9.0,13.0
274,DEN,1924,3.0,2.0,6.0,11.0
275,DEN,1928,4.0,3.0,2.0,9.0
276,DEN,1932,3.0,0.0,5.0,8.0
277,DEN,1936,3.0,0.0,2.0,5.0
278,DEN,1948,9.0,5.0,8.0,22.0
279,DEN,1952,2.0,2.0,1.0,5.0
280,DEN,1956,1.0,1.0,2.0,4.0
281,DEN,1960,1.0,2.0,3.0,6.0
282,DEN,1964,3.0,2.0,1.0,6.0
283,DEN,1968,3.0,1.0,4.0,8.0
284,DEN,1972,0.0,1.0,0.0,1.0
285,DEN,1976,2.0,1.0,0.0,3.0
286,DEN,1980,2.0,2.0,1.0,5.0
287,DEN,1984,3.0,0.0,3.0,6.0
288,DEN,1988,1.0,2.0,1.0,4.0
289,DEN,1992,4.0,1.0,1.0,6.0
290,DEN,1996,1.0,4.0,1.0,6.0
291,DEN,2000,1.0,2.0,3.0,6.0
292,DEN,2004,5.0,2.0,1.0,8.0
293,DEN,2008,3.0,2.0,2.0,7.0
294,DEN,2012,3.0,2.0,4.0,9.0
295,DEN,2016,7.0,2.0,6.0,15.0
296,DJI,1988,1.0,0.0,0.0,1.0
297,DOM,1984,1.0,0.0,0.0,1.0
298,DOM,2004,0.0,1.0,0.0,1.0
299,DOM,2008,0.0,1.0,1.0,2.0
300,DOM,2012,0.0,1.0,1.0,2.0
301,ECU,1996,0.0,1.0,0.0,1.0
302,ECU,2008,0.0,0.0,1.0,1.0
303,EGY,1928,1.0,2.0,1.0,4.0
304,EGY,1936,2.0,1.0,1.0,4.0
305,EGY,1948,1.0,2.0,2.0,5.0
306,EGY,1952,1.0,0.0,0.0,1.0
307,EGY,1984,0.0,0.0,1.0,1.0
308,EGY,2004,2.0,1.0,1.0,4.0
309,EGY,2012,0.0,0.0,2.0,2.0
310,EGY,2016,2.0,0.0,0.0,2.0
311,ERI,2004,1.0,0.0,0.0,1.0
312,ESP,1900,0.0,1.0,0.0,1.0
313,ESP,1920,0.0,0.0,2.0,2.0
314,ESP,1928,0.0,1.0,0.0,1.0
315,ESP,1932,1.0,0.0,0.0,1.0
316,ESP,1948,0.0,0.0,1.0,1.0
317,ESP,1952,0.0,0.0,1.0,1.0
318,ESP,1960,1.0,0.0,0.0,1.0
319,ESP,1976,0.0,0.0,2.0,2.0
320,ESP,1980,2.0,1.0,3.0,6.0
321,ESP,1984,2.0,1.0,2.0,5.0
