,NOC,Year,Event,Bronze,Gold,Silver,Total
0,AHO,1988,Sailing Mixed Windsurfer,0.0,0.0,1.0,1.0
1,ALG,1992,"Athletics Women's 1,500 metres",0.0,1.0,0.0,1.0
2,ALG,1996,"Athletics Men's 1,500 metres",0.0,1.0,0.0,1.0
3,ALG,1996,Boxing Men's Lightweight,0.0,1.0,0.0,1.0
4,ALG,1996,Boxing Men's Middleweight,1.0,0.0,0.0,1.0
5,ALG,2000,"Athletics Men's 5,000 metres",0.0,0.0,1.0,1.0
6,ALG,2000,Athletics Men's 800 metres,1.0,0.0,0.0,1.0
7,ALG,2000,Athletics Men's High Jump,1.0,0.0,0.0,1.0
8,ALG,2000,"Athletics Women's 1,500 metres",0.0,1.0,0.0,1.0
9,ALG,2000,Boxing Men's Light-Welterweight,1.0,0.0,0.0,1.0
10,ALG,2008,Judo Men's Middleweight,0.0,0.0,1.0,1.0
11,ALG,2008,Judo Women's Half-Lightweight,1.0,0.0,0.0,1.0
12,ALG,2012,"Athletics Men's 1,500 metres",0.0,1.0,0.0,1.0
13,ALG,2016,"Athletics Men's 1,500 metres",0.0,0.0,1.0,1.0
14,ALG,2016,Athletics Men's 800 metres,0.0,0.0,1.0,1.0
15,ANZ,1908,"Athletics Men's 3,500 metres Walk",1.0,0.0,0.0,1.0
16,ANZ,1908,Boxing Men's Middleweight,0.0,0.0,1.0,1.0
17,ANZ,1908,Rugby Men's Rugby,0.0,1.0,0.0,1.0
18,ANZ,1908,"Swimming Men's 1,500 metres Freestyle",1.0,0.0,0.0,1.0
19,ANZ,1908,Swimming Men's 400 metres Freestyle,0.0,0.0,1.0,1.0
20,ANZ,1912,"Swimming Men's 1,500 metres Freestyle",1.0,0.0,0.0,1.0
21,ANZ,1912,Swimming Men's 100 metres Freestyle,0.0,0.0,1.0,1.0
22,ANZ,1912,Swimming Men's 4 x 200 metres Freestyle Relay,0.0,1.0,0.0,1.0
23,ANZ,1912,Swimming Men's 400 metres Freestyle,1.0,0.0,0.0,1.0
24,ANZ,1912,Swimming Women's 100 metres Freestyle,0.0,1.0,1.0,2.0
25,ANZ,1912,"Tennis Men's Singles, Covered Courts",1.0,0.0,0.0,1.0
26,ARG,1924,Athletics Men's Triple Jump,0.0,0.0,1.0,1.0
27,ARG,1924,Boxing Men's Featherweight,1.0,0.0,0.0,1.0
28,ARG,1924,Boxing Men's Heavyweight,1.0,0.0,0.0,1.0
29,ARG,1924,Boxing Men's Lightweight,0.0,0.0,1.0,1.0
30,ARG,1924,Boxing Men's Welterweight,0.0,0.0,1.0,1.0
31,ARG,1924,Polo Men's Polo,0.0,1.0,0.0,1.0
32,ARG,1928,Boxing Men's Featherweight,0.0,0.0,1.0,1.0
33,ARG,1928,Boxing Men's Heavyweight,0.0,1.0,0.0,1.0
34,ARG,1928,Boxing Men's Light-Heavyweight,0.0,1.0,0.0,1.0
35,ARG,1928,Boxing Men's Welterweight,0.0,0.0,1.0,1.0
36,ARG,1928,"Fencing Men's Foil, Team",1.0,0.0,0.0,1.0
37,ARG,1928,Football Men's Football,0.0,0.0,1.0,1.0
38,ARG,1928,Swimming Men's 400 metres Freestyle,0.0,1.0,0.0,1.0
39,ARG,1932,Athletics Men's Marathon,0.0,1.0,0.0,1.0
40,ARG,1932,Boxing Men's Featherweight,0.0,1.0,0.0,1.0
41,ARG,1932,Boxing Men's Heavyweight,0.0,1.0,0.0,1.0
42,ARG,1932,Boxing Men's Middleweight,0.0,0.0,1.0,1.0
43,ARG,1936,Boxing Men's Featherweight,0.0,1.0,0.0,1.0
44,ARG,1936,Boxing Men's Heavyweight,0.0,0.0,1.0,1.0
45,ARG,1936,Boxing Men's Light-Heavyweight,1.0,0.0,0.0,1.0
46,ARG,1936,Boxing Men's Middleweight,1.0,0.0,0.0,1.0
47,ARG,1936,Polo Men's Polo,0.0,1.0,0.0,1.0
48,ARG,1936,Rowing Men's Coxless Pairs,1.0,0.0,0.0,1.0
49,ARG,1936,Swimming Women's 100 metres Freestyle,0.0,0.0,1.0,1.0
50,ARG,1948,Athletics Men's Marathon,0.0,1.0,0.0,1.0
51,ARG,1948,Athletics Women's Long Jump,0.0,0.0,1.0,1.0
52,ARG,1948,Boxing Men's Flyweight,0.0,1.0,0.0,1.0
53,ARG,1948,Boxing Men's Heavyweight,0.0,1.0,0.0,1.0
54,ARG,1948,Boxing Men's Light-Heavyweight,1.0,0.0,0.0,1.0
55,ARG,1948,Sailing Mixed 6 metres,0.0,0.0,1.0,1.0
56,ARG,1948,"Shooting Men's Rapid-Fire Pistol, 25 metres",0.0,0.0,1.0,1.0
57,ARG,1952,Athletics Men's Marathon,0.0,0.0,1.0,1.0
58,ARG,1952,Boxing Men's Light-Heavyweight,0.0,0.0,1.0,1.0
59,ARG,1952,Boxing Men's Light-Middleweight,1.0,0.0,0.0,1.0
60,ARG,1952,Rowing Men's Double Sculls,0.0,1.0,0.0,1.0
61,ARG,1952,Weightlifting Men's Heavyweight,1.0,0.0,0.0,1.0
62,ARG,1956,Weightlifting Men's Heavyweight,0.0,0.0,1.0,1.0
63,ARG,1960,Boxing Men's Lightweight,1.0,0.0,0.0,1.0
64,ARG,1960,Sailing Mixed Three Person Keelboat,0.0,0.0,1.0,1.0
65,ARG,1964,"Equestrianism Mixed Three-Day Event, Individual",0.0,0.0,1.0,1.0
66,ARG,1968,Boxing Men's Welterweight,1.0,0.0,0.0,1.0
67,ARG,1968,Rowing Men's Single Sculls,1.0,0.0,0.0,1.0
68,ARG,1972,Rowing Men's Single Sculls,0.0,0.0,1.0,1.0
69,ARG,1988,Tennis Women's Singles,0.0,0.0,1.0,1.0
70,ARG,1988,Volleyball Men's Volleyball,1.0,0.0,0.0,1.0
71,ARG,1992,Tennis Men's Doubles,1.0,0.0,0.0,1.0
72,ARG,1996,Boxing Men's Featherweight,1.0,0.0,0.0,1.0
73,ARG,1996,Football Men's Football,0.0,0.0,1.0,1.0
74,ARG,1996,Sailing Men's Windsurfer,0.0,0.0,1.0,1.0
75,ARG,2000,Hockey Women's Hockey,0.0,0.0,1.0,1.0
76,ARG,2000,Sailing Men's Two Person Dinghy,1.0,0.0,0.0,1.0
77,ARG,2000,Sailing Men's Windsurfer,0.0,0.0,1.0,1.0
78,ARG,2000,Sailing Women's One Person Dinghy,1.0,0.0,0.0,1.0
79,ARG,2004,Basketball Men's Basketball,0.0,1.0,0.0,1.0
80,ARG,2004,Football Men's Football,0.0,1.0,0.0,1.0
81,ARG,2004,Hockey Women's Hockey,1.0,0.0,0.0,1.0
82,ARG,2004,Sailing Mixed Multihull,1.0,0.0,0.0,1.0
83,ARG,2004,Swimming Women's 400 metres Individual Medley,1.0,0.0,0.0,1.0
84,ARG,2004,Tennis Women's Doubles,1.0,0.0,0.0,1.0
85,ARG,2008,Basketball Men's Basketball,1.0,0.0,0.0,1.0
86,ARG,2008,Cycling Men's Madison,0.0,1.0,0.0,1.0
87,ARG,2008,Football Men's Football,0.0,1.0,0.0,1.0
88,ARG,2008,Hockey Women's Hockey,1.0,0.0,0.0,1.0
89,ARG,2008,Judo Women's Extra-Lightweight,1.0,0.0,0.0,1.0
90,ARG,2008,Sailing Mixed Multihull,1.0,0.0,0.0,1.0
91,ARG,2012,Hockey Women's Hockey,0.0,0.0,1.0,1.0
92,ARG,2012,Sailing Men's Two Person Dinghy,1.0,0.0,0.0,1.0
93,ARG,2012,Taekwondo Men's Welterweight,0.0,1.0,0.0,1.0
94,ARG,2012,Tennis Men's Singles,1.0,0.0,0.0,1.0
95,ARG,2016,Hockey Men's Hockey,0.0,1.0,0.0,1.0
96,ARG,2016,Judo Women's Extra-Lightweight,0.0,1.0,0.0,1.0
97,ARG,2016,Sailing Mixed Multihull,0.0,1.0,0.0,1.0
98,ARG,2016,Tennis Men's Singles,0.0,0.0,1.0,1.0
99,ARM,1996,"Wrestling Men's Flyweight, Greco-Roman",0.0,1.0,0.0,1.0
100,ARM,1996,"Wrestling Men's Light-Flyweight, Freestyle",0.0,0.0,1.0,1.0
