,ID,Team,NOC,Year,Event,Medal
0,1,China,CHN,1992,Basketball Men's Basketball,
1,2,China,CHN,2012,Judo Men's Extra-Lightweight,
2,3,Denmark,DEN,1920,Football Men's Football,
3,4,Denmark/Sweden,DEN,1900,Tug-Of-War Men's Tug-Of-War,Gold
26,8,Netherlands,NED,1932,Athletics Women's 100 metres,
27,8,Netherlands,NED,1932,Athletics Women's 4 x 100 metres Relay,
29,10,Finland,FIN,1952,Swimming Men's 400 metres Freestyle,
31,12,Finland,FIN,2000,Badminton Men's Singles,
32,13,Finland,FIN,1996,Sailing Women's Windsurfer,
33,13,Finland,FIN,2000,Sailing Women's Windsurfer,
35,15,Finland,FIN,1912,Swimming Men's 200 metres Breaststroke,
36,15,Finland,FIN,1912,Swimming Men's 400 metres Breaststroke,
37,15,Finland,FIN,1920,Swimming Men's 200 metres Breaststroke,Bronze
38,15,Finland,FIN,1920,Swimming Men's 400 metres Breaststroke,Bronze
39,15,Finland,FIN,1924,Swimming Men's 200 metres Breaststroke,
41,17,Finland,FIN,1948,Gymnastics Men's Individual All-Around,Bronze
42,17,Finland,FIN,1948,Gymnastics Men's Team All-Around,Gold
43,17,Finland,FIN,1948,Gymnastics Men's Floor Exercise,
44,17,Finland,FIN,1948,Gymnastics Men's Horse Vault,Gold
45,17,Finland,FIN,1948,Gymnastics Men's Parallel Bars,
46,17,Finland,FIN,1948,Gymnastics Men's Horizontal Bar,
47,17,Finland,FIN,1948,Gymnastics Men's Rings,
48,17,Finland,FIN,1948,Gymnastics Men's Pommelled Horse,Gold
49,17,Finland,FIN,1952,Gymnastics Men's Individual All-Around,
50,17,Finland,FIN,1952,Gymnastics Men's Team All-Around,Bronze
51,17,Finland,FIN,1952,Gymnastics Men's Floor Exercise,
52,17,Finland,FIN,1952,Gymnastics Men's Horse Vault,
53,17,Finland,FIN,1952,Gymnastics Men's Parallel Bars,
54,17,Finland,FIN,1952,Gymnastics Men's Horizontal Bar,
55,17,Finland,FIN,1952,Gymnastics Men's Rings,
56,17,Finland,FIN,1952,Gymnastics Men's Pommelled Horse,
57,18,Finland,FIN,2000,Athletics Men's Shot Put,
58,19,Finland,FIN,1948,"Art Competitions Mixed Sculpturing, Unknown Event",
79,21,Norway,NOR,2008,Handball Women's Handball,Gold
80,22,Romania,ROU,2016,Weightlifting Women's Super-Heavyweight,
81,23,Norway,NOR,2000,"Wrestling Men's Light-Heavyweight, Greco-Roman",
82,23,Norway,NOR,2004,"Wrestling Men's Light-Heavyweight, Greco-Roman",
86,25,Norway,NOR,1920,"Gymnastics Men's Team All-Around, Free System",Silver
88,27,Netherlands,NED,1984,Water Polo Men's Water Polo,
89,28,Norway,NOR,1968,Sailing Mixed Three Person Keelboat,
90,28,Norway,NOR,1972,Sailing Mixed Three Person Keelboat,
91,29,Netherlands,NED,1988,Hockey Women's Hockey,Bronze
92,30,Netherlands,NED,1996,Rowing Men's Lightweight Double Sculls,Silver
93,30,Netherlands,NED,2000,Rowing Men's Lightweight Double Sculls,
94,31,Estonia,EST,1936,Athletics Men's Pole Vault,
95,32,Norway,NOR,1912,Athletics Men's High Jump,
96,33,Finland,FIN,1992,Sailing Men's Two Person Dinghy,
97,33,Finland,FIN,1996,Sailing Men's Two Person Dinghy,
98,34,France,FRA,2012,"Athletics Men's 1,500 metres",
100,36,Netherlands,NED,1996,Swimming Men's 100 metres Butterfly,
101,36,Netherlands,NED,1996,Swimming Men's 200 metres Butterfly,
102,36,Netherlands,NED,1996,Swimming Men's 4 x 100 metres Medley Relay,
103,36,Netherlands,NED,2000,Swimming Men's 100 metres Butterfly,
104,36,Netherlands,NED,2000,Swimming Men's 200 metres Butterfly,
105,37,Norway,NOR,1996,Football Women's Football,Bronze
107,39,Norway,NOR,1912,"Fencing Men's Foil, Individual",
108,39,Norway,NOR,1912,"Fencing Men's epee, Individual",
109,39,Norway,NOR,1912,"Fencing Men's epee, Team",
117,42,Taifun,NOR,1912,Sailing Mixed 8 metres,Gold
118,43,Norway,NOR,1992,"Equestrianism Mixed Jumping, Individual",
124,45,Norway,NOR,1936,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
125,46,Norway,NOR,1936,"Shooting Men's Rapid-Fire Pistol, 25 metres",
126,46,Norway,NOR,1948,"Shooting Men's Rapid-Fire Pistol, 25 metres",
127,46,Norway,NOR,1952,Shooting Men's Trap,
128,46,Norway,NOR,1956,Shooting Men's Trap,
129,46,Norway,NOR,1960,Shooting Men's Trap,
130,47,Norway,NOR,1920,Athletics Men's 4 x 100 metres Relay,
131,47,Norway,NOR,1920,Athletics Men's Long Jump,
132,47,Norway,NOR,1924,Athletics Men's Long Jump,
133,47,Norway,NOR,1928,Athletics Men's Long Jump,
134,48,Morocco,MAR,2012,Boxing Men's Light-Welterweight,
135,49,Estonia,EST,2004,Athletics Women's Javelin Throw,
136,49,Estonia,EST,2008,Athletics Women's Javelin Throw,
137,50,Estonia,EST,1992,"Wrestling Men's Heavyweight, Freestyle",
138,50,Estonia,EST,1996,"Wrestling Men's Heavyweight, Freestyle",
139,51,Spain,ESP,2016,Gymnastics Men's Individual All-Around,
140,51,Spain,ESP,2016,Gymnastics Men's Floor Exercise,
141,51,Spain,ESP,2016,Gymnastics Men's Parallel Bars,
142,51,Spain,ESP,2016,Gymnastics Men's Horizontal Bar,
143,51,Spain,ESP,2016,Gymnastics Men's Rings,
144,51,Spain,ESP,2016,Gymnastics Men's Pommelled Horse,
145,52,France,FRA,1976,Athletics Men's Pole Vault,
146,53,Egypt,EGY,2000,Taekwondo Men's Flyweight,
147,54,Iran,IRI,1948,Boxing Men's Heavyweight,
148,55,Spain,ESP,2016,"Athletics Men's 5,000 metres",
149,56,France,FRA,1956,"Cycling Men's Road Race, Individual",
150,56,France,FRA,1956,"Cycling Men's Road Race, Team",Gold
151,57,Bulgaria,BUL,1988,Boxing Men's Light-Welterweight,
152,58,Bulgaria,BUL,1924,"Cycling Men's Road Race, Individual",
153,58,Bulgaria,BUL,1924,"Cycling Men's Road Race, Team",
154,59,Bulgaria,BUL,1956,Weightlifting Men's Lightweight,
155,59,Bulgaria,BUL,1960,Weightlifting Men's Middleweight,
157,61,Bulgaria,BUL,1960,Football Men's Football,
158,62,Italy,ITA,2016,Rowing Men's Coxless Pairs,Bronze
159,63,Spain,ESP,2008,"Fencing Men's epee, Individual",Bronze
160,64,Chad,CHA,1992,Judo Men's Half-Middleweight,
161,65,Azerbaijan,AZE,2016,Taekwondo Women's Flyweight,Bronze
162,66,Sudan,SUD,1972,Boxing Men's Flyweight,
163,67,Russia,RUS,2008,Athletics Women's Javelin Throw,Silver
164,67,Russia,RUS,2012,Athletics Women's Javelin Throw,
166,68,Argentina,ARG,2000,Swimming Men's 4 x 100 metres Medley Relay,
167,69,Spain,ESP,2008,Basketball Women's Basketball,
168,70,Cuba,CUB,2000,Diving Men's Platform,
169,71,Cuba,CUB,1992,"Canoeing Men's Canadian Doubles, 500 metres",
170,71,Cuba,CUB,1992,"Canoeing Men's Canadian Doubles, 1,000 metres",
171,72,Belarus,BLR,2004,"Canoeing Men's Kayak Fours, 1,000 metres",
172,72,Belarus,BLR,2008,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
173,73,France,FRA,2008,Handball Men's Handball,Gold
174,73,France,FRA,2012,Handball Men's Handball,Gold
175,73,France,FRA,2016,Handball Men's Handball,Silver
176,74,Argentina,ARG,2012,Rowing Women's Coxless Pairs,
177,75,Greece,GRE,2004,"Fencing Men's epee, Individual",
178,76,Cameroon,CMR,2000,Football Men's Football,Gold
179,77,Cameroon,CMR,1968,Boxing Men's Middleweight,
180,78,Turkey,TUR,1996,Judo Men's Lightweight,
181,79,Chile,CHI,1924,Boxing Men's Featherweight,
182,80,Spain,ESP,1996,Water Polo Men's Water Polo,Gold
183,81,Greece,GRE,2004,Football Men's Football,
184,82,Mexico,MEX,2000,Tennis Men's Doubles,
185,83,Chile,CHI,1992,Shooting Mixed Skeet,
186,84,United States,USA,2004,"Wrestling Men's Featherweight, Freestyle",Silver
187,85,Spain,ESP,1976,Sailing Mixed Two Person Heavyweight Dinghy,
188,85,Spain,ESP,1980,Sailing Mixed Two Person Heavyweight Dinghy,Gold
189,85,Spain,ESP,1984,Sailing Mixed Two Person Heavyweight Dinghy,
190,86,Spain,ESP,1980,"Athletics Men's 1,500 metres",
191,86,Spain,ESP,1984,"Athletics Men's 1,500 metres",Bronze
192,87,Soviet Union,URS,1964,"Wrestling Men's Light-Heavyweight, Greco-Roman",
193,88,Soviet Union,URS,1980,Athletics Women's Shot Put,
194,89,Chile,CHI,1984,Rowing Men's Coxed Eights,
195,90,Russia,RUS,2004,Cycling Women's Sprint,Silver
196,90,Russia,RUS,2004,Cycling Women's 500 metres Time Trial,
197,91,Italy,ITA,2012,Athletics Men's 110 metres Hurdles,
198,92,Italy,ITA,2008,Football Men's Football,
199,93,France,FRA,2004,Handball Men's Handball,
201,94,Chile,CHI,1984,Shooting Mixed Trap,
202,95,Greece,GRE,2004,Athletics Women's Marathon,
203,96,Nicaragua,NCA,2004,Athletics Men's 100 metres,
204,97,Nicaragua,NCA,1976,Athletics Men's High Jump,
205,98,Mexico,MEX,1968,"Fencing Men's Foil, Individual",
206,98,Mexico,MEX,1968,"Fencing Men's Foil, Team",
207,98,Mexico,MEX,1968,"Fencing Men's Sabre, Team",
208,99,Hungary,HUN,1992,"Fencing Men's Sabre, Team",Silver
209,100,Hungary,HUN,1936,Swimming Men's 100 metres Freestyle,
210,100,Hungary,HUN,1936,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
211,101,Nigeria,NGR,1972,Boxing Men's Lightweight,
213,102,Egypt,EGY,1928,Football Men's Football,
214,103,Italy,ITA,1936,Modern Pentathlon Men's Individual,Bronze
215,104,Chad,CHA,1972,Athletics Men's 100 metres,
216,105,Algeria,ALG,2012,Boxing Men's Welterweight,
217,105,Algeria,ALG,2016,Boxing Men's Middleweight,
218,106,Italy,ITA,1988,Rowing Men's Quadruple Sculls,Gold
219,106,Italy,ITA,1996,Rowing Men's Double Sculls,Gold
220,106,Italy,ITA,2000,Rowing Men's Quadruple Sculls,Gold
221,107,Italy,ITA,1984,Rowing Men's Coxed Pairs,Gold
222,107,Italy,ITA,1988,Rowing Men's Coxed Pairs,Gold
223,107,Italy,ITA,1992,Rowing Men's Coxed Pairs,Silver
224,107,Italy,ITA,1996,Rowing Men's Coxed Eights,
225,108,Italy,ITA,1980,Rowing Men's Coxed Pairs,
229,109,Kuwait,KUW,1976,Athletics Men's 400 metres Hurdles,
230,109,Kuwait,KUW,1976,Athletics Men's 4 x 100 metres Relay,
231,109,Kuwait,KUW,1980,Athletics Men's 400 metres Hurdles,
232,110,Bahrain,BRN,2016,Athletics Men's 400 metres,
233,111,Pakistan,PAK,1996,Athletics Men's Hammer Throw,
234,112,Iraq,IRQ,1964,Weightlifting Men's Lightweight,
236,114,Kuwait,KUW,1980,Athletics Men's Long Jump,
237,115,Pakistan,PAK,1992,Athletics Men's 400 metres Hurdles,
238,116,United Arab Republic,UAR,1960,Weightlifting Men's Featherweight,
239,116,Egypt,EGY,1964,Weightlifting Men's Featherweight,
240,117,Lebanon,LIB,1988,Athletics Men's 400 metres,
241,117,Lebanon,LIB,1988,Athletics Men's 800 metres,
242,118,Egypt,EGY,2000,"Cycling Men's Road Race, Individual",
243,119,Egypt,EGY,1952,Diving Men's Platform,
244,120,Iraq,IRQ,2004,Swimming Men's 100 metres Freestyle,
246,122,Qatar,QAT,2004,Weightlifting Men's Middleweight,
247,123,Pakistan,PAK,2000,Hockey Men's Hockey,
248,123,Pakistan,PAK,2004,Hockey Men's Hockey,
249,123,Pakistan,PAK,2012,Hockey Men's Hockey,
250,124,Egypt,EGY,1952,Basketball Men's Basketball,
251,125,Malaysia,MAS,1984,Hockey Men's Hockey,
254,127,Pakistan,PAK,2008,Hockey Men's Hockey,
