,NOC,Year,Medal,Number of Medals
0,AHO,1988,Silver,1
1,ALG,1992,Gold,1
2,ALG,1996,Bronze,1
3,ALG,1996,Gold,2
4,ALG,2000,Bronze,3
5,ALG,2000,Gold,1
6,ALG,2000,Silver,1
7,ALG,2008,Bronze,1
8,ALG,2008,Silver,1
9,ALG,2012,Gold,1
10,ALG,2016,Silver,2
11,ANZ,1908,Bronze,2
12,ANZ,1908,Gold,1
13,ANZ,1908,Silver,2
14,ANZ,1912,Bronze,3
15,ANZ,1912,Gold,2
16,ANZ,1912,Silver,2
17,ARG,1924,Bronze,2
18,ARG,1924,Gold,1
19,ARG,1924,Silver,3
20,ARG,1928,Bronze,1
21,ARG,1928,Gold,3
22,ARG,1928,Silver,3
23,ARG,1932,Gold,3
24,ARG,1932,Silver,1
25,ARG,1936,Bronze,3
26,ARG,1936,Gold,2
27,ARG,1936,Silver,2
28,ARG,1948,Bronze,1
29,ARG,1948,Gold,3
30,ARG,1948,Silver,3
31,ARG,1952,Bronze,2
32,ARG,1952,Gold,1
33,ARG,1952,Silver,2
34,ARG,1956,Silver,1
35,ARG,1960,Bronze,1
36,ARG,1960,Silver,1
37,ARG,1964,Silver,1
38,ARG,1968,Bronze,2
39,ARG,1972,Silver,1
40,ARG,1988,Bronze,1
41,ARG,1988,Silver,1
42,ARG,1992,Bronze,1
43,ARG,1996,Bronze,1
44,ARG,1996,Silver,2
45,ARG,2000,Bronze,2
46,ARG,2000,Silver,2
47,ARG,2004,Bronze,4
48,ARG,2004,Gold,2
49,ARG,2008,Bronze,4
50,ARG,2008,Gold,2
51,ARG,2012,Bronze,2
52,ARG,2012,Gold,1
53,ARG,2012,Silver,1
54,ARG,2016,Gold,3
55,ARG,2016,Silver,1
56,ARM,1996,Gold,1
57,ARM,1996,Silver,1
58,ARM,2000,Bronze,1
59,ARM,2008,Bronze,5
60,ARM,2012,Bronze,2
61,ARM,2012,Silver,1
62,ARM,2016,Gold,1
63,ARM,2016,Silver,3
64,AUS,1896,Bronze,1
65,AUS,1896,Gold,2
66,AUS,1900,Bronze,3
67,AUS,1900,Gold,2
68,AUS,1904,Bronze,1
69,AUS,1904,Silver,3
70,AUS,1906,Bronze,3
71,AUS,1920,Bronze,1
72,AUS,1920,Silver,2
73,AUS,1924,Bronze,2
