,Year,number of 65+,NOC
0,1960,1296.0,ABW
1,1960,3884927.0,AFE
2,1960,244277.0,AFG
3,1960,3211093.0,AFW
4,1960,165004.0,AGO
5,1960,88308.0,ALB
6,1960,643.0,AND
7,1960,3255302.0,ARB
8,1960,3074.0,ARE
9,1960,1052128.0,ARG
10,1960,112339.0,ARM
11,1960,526.0,ASM
12,1960,2058.0,ATG
13,1960,881373.0,AUS
14,1960,860524.0,AUT
15,1960,184506.0,AZE
16,1960,87282.0,BDI
17,1960,1097240.0,BEL
18,1960,149890.0,BEN
19,1960,126444.0,BFA
20,1960,1516347.0,BGD
21,1960,577691.0,BGR
22,1960,3757.0,BHR
23,1960,117736.0,BIH
24,1960,588324.0,BLR
25,1960,3771.0,BLZ
26,1960,2463.0,BMU
27,1960,183651.0,BOL
28,1960,1921246.0,BRA
29,1960,12795.0,BRB
30,1960,2388.0,BRN
31,1960,5260.0,BTN
32,1960,21465.0,BWA
33,1960,72158.0,CAF
34,1960,1373988.0,CAN
35,1960,6612839.0,CEB
36,1960,545181.0,CHE
37,1960,14776.0,CHI
38,1960,269875.0,CHL
39,1960,26464679.0,CHN
40,1960,87952.0,CIV
41,1960,195739.0,CMR
42,1960,483718.0,COL
43,1960,6853.0,COM
44,1960,8763.0,CPV
45,1960,41006.0,CRI
46,1960,165475.0,CSS
47,1960,318107.0,CUB
48,1960,5690.0,CUW
49,1960,608.0,CYM
50,1960,34369.0,CYP
51,1960,898694.0,CZE
52,1960,8395071.0,DEU
53,1960,2011.0,DJI
54,1960,3244.0,DMA
55,1960,485596.0,DNK
56,1960,85207.0,DOM
57,1960,357746.0,DZA
58,1960,33371842.0,EAP
59,1960,32426963.0,EAR
60,1960,41048263.0,EAS
61,1960,15307283.0,ECA
62,1960,56033720.0,ECS
63,1960,212533.0,ECU
64,1960,27191246.0,EMU
65,1960,28017.0,ERI
66,1960,2494336.0,ESP
67,1960,127652.0,EST
68,1960,615923.0,ETH
69,1960,34193084.0,EUU
70,1960,9517557.0,FCS
71,1960,324019.0,FIN
72,1960,10387.0,FJI
73,1960,5443513.0,FRA
74,1960,2732.0,FRO
75,1960,39571.0,GAB
76,1960,6143536.0,GBR
77,1960,272295.0,GEO
78,1960,204441.0,GHA
79,1960,1807.0,GIB
80,1960,156929.0,GIN
81,1960,22954.0,GNB
82,1960,13894.0,GNQ
83,1960,675021.0,GRC
84,1960,4768.0,GRD
85,1960,642.0,GRL
86,1960,99387.0,GTM
87,1960,930.0,GUM
88,1960,19032.0,GUY
89,1960,67470147.0,HIC
90,1960,68103.0,HND
91,1960,4930485.0,HPC
92,1960,312028.0,HRV
93,1960,127427.0,HTI
94,1960,901580.0,HUN
95,1960,75020382.0,IBD
96,1960,87992803.0,IBT
97,1960,12972421.0,IDA
98,1960,4356768.0,IDB
99,1960,2161677.0,IDN
100,1960,8615653.0,IDX
101,1960,8630.0,IMN
102,1960,14678435.0,IND
104,1960,319910.0,IRL
105,1960,244813.0,IRQ
106,1960,14127.0,ISL
107,1960,110904.0,ISR
108,1960,4774895.0,ITA
109,1960,69808.0,JAM
110,1960,35618.0,JOR
111,1960,5405847.0,JPN
112,1960,492347.0,KAZ
113,1960,244455.0,KEN
114,1960,138318.0,KGZ
115,1960,149126.0,KHM
116,1960,2260.0,KIR
117,1960,2815.0,KNA
118,1960,6786.0,KWT
119,1960,6348808.0,LAC
120,1960,56294.0,LAO
121,1960,106559.0,LBN
122,1960,33042.0,LBR
123,1960,64364.0,LBY
124,1960,3617.0,LCA
125,1960,7231954.0,LCN
126,1960,7392713.0,LDC
127,1960,4256318.0,LIC
128,1960,1310.0,LIE
129,1960,461545.0,LKA
130,1960,34493430.0,LMC
131,1960,84675119.0,LMY
132,1960,32998.0,LSO
133,1960,46797548.0,LTE
134,1960,221547.0,LTU
135,1960,33587.0,LUX
136,1960,224203.0,LVA
137,1960,171.0,MAF
138,1960,328751.0,MAR
139,1960,4122.0,MCO
140,1960,113596.0,MDA
141,1960,169092.0,MDG
142,1960,2820.0,MDV
143,1960,3946859.0,MEA
144,1960,1056878.0,MEX
145,1960,851.0,MHL
146,1960,80335289.0,MIC
147,1960,76333.0,MKD
148,1960,138277.0,MLI
149,1960,23136.0,MLT
150,1960,755999.0,MMR
151,1960,3632540.0,MNA
152,1960,32213.0,MNE
153,1960,51250.0,MNG
154,1960,233.0,MNP
155,1960,198226.0,MOZ
156,1960,18768.0,MRT
157,1960,19427.0,MUS
158,1960,106954.0,MWI
159,1960,204108.0,MYS
160,1960,18053179.0,NAC
161,1960,25254.0,NAM
162,1960,2752.0,NCL
163,1960,39268.0,NER
164,1960,1494508.0,NGA
165,1960,44284.0,NIC
166,1960,1033409.0,NLD
167,1960,395171.0,NOR
168,1960,302572.0,NPL
169,1960,175.0,NRU
170,1960,207421.0,NZL
171,1960,67588375.0,OED
172,1960,18232.0,OMN
173,1960,479238.0,OSS
174,1960,1709891.0,PAK
175,1960,40893.0,PAN
176,1960,374742.0,PER
