Year,NOC,ID,Gold,Silver,Bronze,Female_Gold,Female_Silver,Female_Bronze,Male_Gold,Male_Silver,Male_Bronze
1896,AUS,AUS1896,2,0,1,0,0,0,2,0,1
1896,AUT,AUT1896,2,1,2,0,0,0,2,1,2
1896,DEN,DEN1896,1,2,3,0,0,0,1,2,3
1896,FRA,FRA1896,5,4,2,0,0,0,5,4,2
1896,GBR,GBR1896,3,3,2,0,0,0,3,3,2
1896,GER,GER1896,6,5,2,0,0,0,6,5,2
1896,GRE,GRE1896,10,17,17,0,0,0,10,17,17
1896,HUN,HUN1896,2,1,1,0,0,0,2,1,1
1896,SUI,SUI1896,1,2,0,0,0,0,1,2,0
1896,USA,USA1896,11,6,2,0,0,0,11,6,2
1900,AUS,AUS1900,2,0,3,0,0,0,2,0,3
1900,AUT,AUT1900,0,3,3,0,0,0,0,3,3
1900,BEL,BEL1900,6,7,4,0,0,0,6,7,4
1900,BOH,BOH1900,0,1,0,0,0,0,0,1,0
1900,CAN,CAN1900,1,0,1,0,0,0,1,0,1
1900,CUB,CUB1900,1,1,0,0,0,0,1,1,0
1900,DEN,DEN1900,2,2,2,0,0,0,2,2,2
1900,ESP,ESP1900,1,0,0,0,0,0,1,0,0
1900,FRA,FRA1900,28,33,34,0,0,1,28,33,33
1900,GBR,GBR1900,16,10,9,2,0,0,14,10,9
1900,GER,GER1900,2,3,1,0,0,0,2,3,1
1900,HUN,HUN1900,1,2,2,0,0,0,1,2,2
1900,IND,IND1900,0,2,0,0,0,0,0,2,0
1900,ITA,ITA1900,2,2,0,0,0,0,2,2,0
1900,LUX,LUX1900,1,0,0,0,0,0,1,0,0
1900,NED,NED1900,1,1,3,0,0,0,1,1,3
1900,NOR,NOR1900,0,2,3,0,0,0,0,2,3
1900,SUI,SUI1900,6,1,1,0,0,0,6,1,1
1900,SWE,SWE1900,0,0,1,0,0,0,0,0,1
1900,USA,USA1900,19,16,13,1,2,1,18,14,12
1904,AUS,AUS1904,0,3,1,0,0,0,0,3,1
1904,AUT,AUT1904,1,1,1,0,0,0,1,1,1
1904,CAN,CAN1904,4,1,1,0,0,0,4,1,1
1904,CUB,CUB1904,4,0,0,0,0,0,4,0,0
1904,FRA,FRA1904,0,2,0,0,0,0,0,2,0
1904,GBR,GBR1904,1,1,0,0,0,0,1,1,0
1904,GER,GER1904,4,5,6,0,0,0,4,5,6
1904,GRE,GRE1904,1,0,1,0,0,0,1,0,1
1904,HUN,HUN1904,2,1,1,0,0,0,2,1,1
1904,NOR,NOR1904,2,0,0,0,0,0,2,0,0
1904,SUI,SUI1904,1,0,2,0,0,0,1,0,2
1904,USA,USA1904,75,78,75,3,2,2,72,76,73
1906,AUS,AUS1906,0,0,3,0,0,0,0,0,3
1906,AUT,AUT1906,3,3,3,0,0,0,3,3,3
1906,BEL,BEL1906,2,2,3,0,0,0,2,2,3
1906,BOH,BOH1906,0,0,2,0,0,0,0,0,2
1906,CAN,CAN1906,1,1,0,0,0,0,1,1,0
1906,DEN,DEN1906,3,2,1,0,0,0,3,2,1
1906,FIN,FIN1906,2,1,1,0,0,0,2,1,1
1906,FRA,FRA1906,15,9,16,1,0,0,14,9,16
1906,GBR,GBR1906,8,12,5,0,0,0,8,12,5
1906,GER,GER1906,4,6,3,0,0,0,4,6,3
1906,GRE,GRE1906,8,12,14,1,1,2,7,11,12
1906,HUN,HUN1906,2,5,3,0,0,0,2,5,3
1906,ITA,ITA1906,7,6,3,0,0,0,7,6,3
1906,NED,NED1906,0,1,2,0,0,0,0,1,2
1906,NOR,NOR1906,1,1,0,0,0,0,1,1,0
1906,SUI,SUI1906,4,3,1,0,0,0,4,3,1
1906,SWE,SWE1906,2,5,7,0,0,0,2,5,7
1906,USA,USA1906,12,4,5,0,0,0,12,4,5
1908,ANZ,ANZ1908,1,2,2,0,0,0,1,2,2
1908,AUT,AUT1908,0,0,1,0,0,0,0,0,1
1908,BEL,BEL1908,1,5,2,0,0,0,1,5,2
1908,BOH,BOH1908,0,0,2,0,0,0,0,0,2
1908,CAN,CAN1908,3,3,9,0,0,0,3,3,9
1908,DEN,DEN1908,0,2,3,0,0,0,0,2,3
1908,FIN,FIN1908,1,1,3,0,0,0,1,1,3
1908,FRA,FRA1908,5,5,9,0,0,0,5,5,9
1908,GBR,GBR1908,56,49,36,4,3,3,52,46,33
1908,GER,GER1908,3,4,4,0,0,1,3,4,3
1908,GRE,GRE1908,0,2,0,0,0,0,0,2,0
1908,HUN,HUN1908,3,3,2,0,0,0,3,3,2
1908,ITA,ITA1908,2,2,0,0,0,0,2,2,0
1908,NED,NED1908,0,0,1,0,0,0,0,0,1
1908,NOR,NOR1908,2,3,3,0,0,0,2,3,3
1908,RSA,RSA1908,1,1,0,0,0,0,1,1,0
1908,RUS,RUS1908,1,2,0,0,0,0,1,2,0
1908,SWE,SWE1908,8,7,9,0,1,0,8,6,9
1908,USA,USA1908,22,12,11,0,0,0,22,12,11
1912,ANZ,ANZ1912,2,1,4,1,0,1,1,1,3
1912,AUT,AUT1912,0,3,1,0,1,0,0,2,1
1912,BEL,BEL1912,2,1,3,0,0,0,2,1,3
1912,CAN,CAN1912,3,2,3,0,0,0,3,2,3
1912,DEN,DEN1912,1,5,6,0,0,1,1,5,5
1912,FIN,FIN1912,9,8,9,0,0,0,9,8,9
1912,FRA,FRA1912,7,6,2,1,1,0,6,5,2
1912,GBR,GBR1912,10,17,14,2,3,1,8,14,13
1912,GER,GER1912,6,11,9,1,0,2,5,11,7
1912,GRE,GRE1912,1,0,1,0,0,0,1,0,1
1912,HUN,HUN1912,3,2,3,0,0,0,3,2,3
1912,ITA,ITA1912,5,1,2,0,0,0,5,1,2
1912,NED,NED1912,0,0,3,0,0,0,0,0,3
1912,NOR,NOR1912,4,2,3,0,1,0,4,1,3
1912,RSA,RSA1912,4,2,0,0,0,0,4,2,0
1912,RUS,RUS1912,0,2,2,0,0,0,0,2,2
1912,SUI,SUI1912,1,0,0,0,0,0,1,0,0
1912,SWE,SWE1912,23,23,17,1,1,2,22,22,15
1912,USA,USA1912,25,18,18,0,0,0,25,18,18
1920,AUS,AUS1920,0,2,1,0,0,0,0,2,1
1920,BEL,BEL1920,15,11,14,0,0,0,15,11,14
1920,BRA,BRA1920,1,1,1,0,0,0,1,1,1
1920,CAN,CAN1920,3,3,3,0,0,0,3,3,3
1920,DEN,DEN1920,3,9,1,1,0,0,2,9,1
1920,ESP,ESP1920,0,2,0,0,0,0,0,2,0
1920,EST,EST1920,1,2,0,0,0,0,1,2,0
