Code,NOC
AFG,AFG
ALB,ALB
DZA,ALG
ASM,ASA
AND,AND
AGO,ANG
ATG,ANT
ARG,ARG
ARM,ARM
ABW,ARU
AUS,AUS
AUT,AUT
AZE,AZE
BHS,BAH
BHR,BRN
BGD,BAN
BRB,BAR
BLR,BLR
BEL,BEL
BLZ,BIZ
BEN,BEN
BMU,BER
BTN,BHU
BOL,BOL
BIH,BIH
BWA,BOT
BRA,BRA
VGB,IVB
BRN,BRU
BGR,BUL
BFA,BUR
BDI,BDI
KHM,CAM
CMR,CMR
CAN,CAN
CPV,CPV
CYM,CAY
CAF,CAF
TCD,CHA
CHL,CHI
CHN,CHN
COL,COL
COM,COM
COK,COK
CRI,CRC
HRV,CRO
CUB,CUB
CYP,CYP
CZE,CZE
COD,COD
DNK,DEN
DJI,DJI
DMA,DMA
DOM,DOM
TLS,TLS
ECU,ECU
EGY,EGY
SLV,ESA
GNQ,GEQ
ERI,ERI
EST,EST
SWZ,SWZ
ETH,ETH
FSM,FSM
FJI,FIJ
FIN,FIN
FRA,FRA
GAB,GAB
GMB,GAM
GEO,GEO
DEU,GER
GHA,GHA
GRC,GRE
GRD,GRN
GUM,GUM
GTM,GUA
GIN,GUI
GNB,GBS
GUY,GUY
HTI,HAI
HND,HON
HKG,HKG
HUN,HUN
ISL,ISL
IND,IND
IDN,INA
IRN,IRI
IRQ,IRQ
IRL,IRL
ISR,ISR
ITA,ITA
CIV,CIV
JAM,JAM
JPN,JPN
JOR,JOR
KAZ,KAZ
KEN,KEN
KIR,KIR
XKX,KOS
KWT,KUW
KGZ,KGZ
LAO,LAO
LVA,LAT
LBN,LBN
LSO,LES
LBR,LBR
LBY,LBA
LIE,LIE
LTU,LTU
LUX,LUX
MDG,MAD
MWI,MAW
MYS,MAS
MDV,MDV
MLI,MLI
MLT,MLT
MHL,MHL
MRT,MTN
MUS,MRI
MEX,MEX
MDA,MDA
MNG,MGL
MNE,MNE
MAR,MAR
MOZ,MOZ
MMR,MYA
NAM,NAM
NRU,NRU
NPL,NEP
NLD,NED
NZL,NZL
NIC,NCA
NER,NIG
NGA,NGR
PRK,PRK
MKD,MKD
NOR,NOR
OMN,OMA
PAK,PAK
PLW,PLW
PSE,PLE
PAN,PAN
PNG,PNG
PRY,PAR
PER,PER
PHL,PHI
POL,POL
PRT,POR
MCO,MON
PRI,PUR
QAT,QAT
COG,CGO
ROU,ROU
RUS,RUS
RWA,RWA
KNA,SKN
LCA,LCA
VCT,VIN
WSM,SAM
SMR,SMR
STP,STP
SAU,KSA
SEN,SEN
SRB,SRB
SYC,SEY
SLE,SLE
SGP,SGP
SVK,SVK
SVN,SLO
SLB,SOL
SOM,SOM
ZAF,RSA
KOR,KOR
ESP,ESP
LKA,SRI
SDN,SUD
SUR,SUR
SWE,SWE
CHE,SUI
SYR,SYR
TWN,TPE
TJK,TJK
TZA,TAN
THA,THA
TGO,TOG
TON,TGA
TTO,TTO
TUN,TUN
TUR,TUR
TKM,TKM
TUV,TUV
UGA,UGA
UKR,UKR
ARE,UAE
GBR,GBR
USA,USA
URY,URU
UZB,UZB
VUT,VAN
VEN,VEN
VNM,VIE
VIR,ISV
YEM,YEM
ZMB,ZAM
ZWE,ZIM
