Entity,Code,Year,GII,ID,Percentage_Female,Total_Medals,Female_Medals
Afghanistan,AFG,2008,0.755,AFG2008,25.0,1,0
Afghanistan,AFG,2012,0.738,AFG2012,16.666666666666664,1,0
Afghanistan,AFG,2016,0.692,AFG2016,33.33333333333333,0,0
Albania,ALB,2000,0.319,ALB2000,60.0,0,0
Albania,ALB,2004,0.301,ALB2004,28.57142857142857,0,0
Albania,ALB,2008,0.293,ALB2008,41.66666666666667,0,0
Albania,ALB,2012,0.235,ALB2012,30.0,0,0
Albania,ALB,2016,0.191,ALB2016,50.0,0,0
Argentina,ARG,1992,0.436,ARG1992,26.126126126126124,2,0
Argentina,ARG,1996,0.422,ARG1996,31.221719457013574,20,0
Argentina,ARG,2000,0.413,ARG2000,31.515151515151512,20,17
Argentina,ARG,2004,0.377,ARG2004,30.726256983240223,49,19
Argentina,ARG,2008,0.363,ARG2008,38.62068965517241,51,17
Argentina,ARG,2012,0.36,ARG2012,30.405405405405407,19,15
Argentina,ARG,2016,0.338,ARG2016,35.3448275862069,22,2
Armenia,ARM,1996,0.463,ARM1996,5.263157894736842,2,0
Armenia,ARM,2000,0.453,ARM2000,7.6923076923076925,1,0
Armenia,ARM,2004,0.394,ARM2004,10.526315789473683,0,0
Armenia,ARM,2008,0.348,ARM2008,7.6923076923076925,6,0
Armenia,ARM,2012,0.327,ARM2012,12.903225806451612,3,1
Armenia,ARM,2016,0.306,ARM2016,29.411764705882355,4,0
Australia,AUS,1992,0.184,AUS1992,41.28205128205128,57,12
Australia,AUS,1996,0.174,AUS1996,44.18181818181818,132,72
Australia,AUS,2000,0.151,AUS2000,46.7005076142132,183,89
Australia,AUS,2004,0.136,AUS2004,45.59068219633943,157,62
Australia,AUS,2008,0.138,AUS2008,47.54385964912281,149,85
Australia,AUS,2012,0.13,AUS2012,47.276264591439684,114,65
Australia,AUS,2016,0.101,AUS2016,50.77220077220077,82,39
Austria,AUT,1992,0.201,AUT1992,30.708661417322837,6,0
Austria,AUT,1996,0.163,AUT1996,22.82608695652174,3,1
Austria,AUT,2000,0.149,AUT2000,39.473684210526315,4,1
Austria,AUT,2004,0.126,AUT2004,28.26086956521739,8,2
Austria,AUT,2008,0.121,AUT2008,40.86021505376344,3,2
Austria,AUT,2012,0.098,AUT2012,42.22222222222222,0,0
Austria,AUT,2016,0.082,AUT2016,47.05882352941176,2,1
Azerbaijan,AZE,1996,0.387,AZE1996,16.666666666666664,1,0
Azerbaijan,AZE,2000,0.354,AZE2000,21.875,3,1
Azerbaijan,AZE,2004,0.348,AZE2004,18.91891891891892,5,2
Azerbaijan,AZE,2008,0.352,AZE2008,31.818181818181817,7,1
Azerbaijan,AZE,2012,0.34,AZE2012,27.11864406779661,10,2
Azerbaijan,AZE,2016,0.328,AZE2016,23.18840579710145,18,4
Belarus,BLR,2004,0.176,BLR2004,45.3125,15,7
Belarus,BLR,2008,0.153,BLR2008,40.50632911392405,29,14
Belarus,BLR,2012,0.159,BLR2012,46.48648648648649,23,17
Belarus,BLR,2016,0.121,BLR2016,54.22535211267606,12,7
Belgium,BEL,1992,0.175,BEL1992,37.86407766990291,3,2
Belgium,BEL,1996,0.16,BEL1996,34.5679012345679,6,3
Belgium,BEL,2000,0.134,BEL2000,57.446808510638306,7,4
Belgium,BEL,2004,0.105,BEL2004,37.142857142857146,3,2
Belgium,BEL,2008,0.1,BEL2008,19.642857142857142,5,5
Belgium,BEL,2012,0.085,BEL2012,34.50704225352113,3,2
Belgium,BEL,2016,0.06,BEL2016,38.405797101449274,21,2
Benin,BEN,1992,0.689,BEN1992,28.57142857142857,0,0
Benin,BEN,1996,0.677,BEN1996,14.285714285714285,0,0
Benin,BEN,2000,0.673,BEN2000,25.0,0,0
Benin,BEN,2004,0.657,BEN2004,50.0,0,0
Benin,BEN,2008,0.626,BEN2008,40.0,0,0
Benin,BEN,2012,0.623,BEN2012,20.0,0,0
Benin,BEN,2016,0.618,BEN2016,33.33333333333333,0,0
