ID,NOC,Year,Sport,Type,Total_Athletes,Female_Athletes,Male_Athletes,Total_Medals,Female_Medals,Gold,Silver,Bronze,Percentage_Female,Percentage_Female_Medals
AFG1936,AFG,1936,Athletics,Individual,3,0,3,0,0,0,0,0,0.0,
AFG1936,AFG,1936,Hockey,Team,13,0,13,0,0,0,0,0,0.0,
AFG1948,AFG,1948,Football,Team,11,0,11,0,0,0,0,0,0.0,
AFG1948,AFG,1948,Hockey,Team,14,0,14,0,0,0,0,0,0.0,
AFG1956,AFG,1956,Hockey,Team,12,0,12,0,0,0,0,0,0.0,
AFG1960,AFG,1960,Athletics,Individual,9,0,9,0,0,0,0,0,0.0,
AFG1960,AFG,1960,Wrestling,Individual,7,0,7,0,0,0,0,0,0.0,
AFG1964,AFG,1964,Wrestling,Individual,8,0,8,0,0,0,0,0,0.0,
AFG1968,AFG,1968,Wrestling,Individual,5,0,5,0,0,0,0,0,0.0,
AFG1972,AFG,1972,Wrestling,Individual,8,0,8,0,0,0,0,0,0.0,
AFG1980,AFG,1980,Boxing,Individual,3,0,3,0,0,0,0,0,0.0,
AFG1980,AFG,1980,Wrestling,Individual,8,0,8,0,0,0,0,0,0.0,
AFG1988,AFG,1988,Wrestling,Individual,5,0,5,0,0,0,0,0,0.0,
AFG1996,AFG,1996,Athletics,Individual,2,0,2,0,0,0,0,0,0.0,
AFG2004,AFG,2004,Athletics,Individual,2,1,1,0,0,0,0,0,50.0,
AFG2004,AFG,2004,Boxing,Individual,1,0,1,0,0,0,0,0,0.0,
AFG2004,AFG,2004,Judo,Individual,1,1,0,0,0,0,0,0,100.0,
AFG2004,AFG,2004,Wrestling,Individual,1,0,1,0,0,0,0,0,0.0,
AFG2008,AFG,2008,Athletics,Individual,2,1,1,0,0,0,0,0,50.0,
AFG2008,AFG,2008,Taekwondo,Individual,2,0,2,1,0,0,0,1,0.0,0.0
AFG2012,AFG,2012,Athletics,Individual,2,1,1,0,0,0,0,0,50.0,
AFG2012,AFG,2012,Boxing,Individual,1,0,1,0,0,0,0,0,0.0,
AFG2012,AFG,2012,Judo,Individual,1,0,1,0,0,0,0,0,0.0,
AFG2012,AFG,2012,Taekwondo,Individual,2,0,2,1,0,0,0,1,0.0,0.0
AFG2016,AFG,2016,Athletics,Individual,2,1,1,0,0,0,0,0,50.0,
AFG2016,AFG,2016,Judo,Individual,1,0,1,0,0,0,0,0,0.0,
AHO1952,AHO,1952,Football,Team,11,0,11,0,0,0,0,0,0.0,
AHO1960,AHO,1960,Weightlifting,Individual,5,0,5,0,0,0,0,0,0.0,
AHO1964,AHO,1964,Fencing,Individual,1,0,1,0,0,0,0,0,0.0,
AHO1964,AHO,1964,Weightlifting,Individual,3,0,3,0,0,0,0,0,0.0,
AHO1968,AHO,1968,Fencing,Individual,3,2,1,0,0,0,0,0,66.66666666666666,
AHO1968,AHO,1968,Weightlifting,Individual,2,0,2,0,0,0,0,0,0.0,
AHO1972,AHO,1972,Shooting,Individual,1,0,1,0,0,0,0,0,0.0,
AHO1972,AHO,1972,Weightlifting,Individual,1,0,1,0,0,0,0,0,0.0,
AHO1976,AHO,1976,Athletics,Individual,2,0,2,0,0,0,0,0,0.0,
AHO1976,AHO,1976,Judo,Individual,2,0,2,0,0,0,0,0,0.0,
AHO1984,AHO,1984,Athletics,Individual,4,2,2,0,0,0,0,0,50.0,
AHO1984,AHO,1984,Swimming,Individual,5,1,4,0,0,0,0,0,20.0,
AHO1984,AHO,1984,Synchronized Swimming,Team,4,4,0,0,0,0,0,0,100.0,
AHO1988,AHO,1988,Sailing,Individual,1,0,1,1,0,0,1,0,0.0,0.0
AHO1988,AHO,1988,Shooting,Individual,1,1,0,0,0,0,0,0,100.0,
AHO1988,AHO,1988,Swimming,Individual,2,0,2,0,0,0,0,0,0.0,
AHO1992,AHO,1992,Athletics,Individual,1,0,1,0,0,0,0,0,0.0,
AHO1992,AHO,1992,Sailing,Individual,2,1,1,0,0,0,0,0,50.0,
AHO1992,AHO,1992,Shooting,Individual,1,0,1,0,0,0,0,0,0.0,
AHO1996,AHO,1996,Athletics,Individual,1,0,1,0,0,0,0,0,0.0,
AHO1996,AHO,1996,Judo,Individual,1,0,1,0,0,0,0,0,0.0,
AHO1996,AHO,1996,Sailing,Individual,2,0,2,0,0,0,0,0,0.0,
AHO1996,AHO,1996,Shooting,Individual,2,0,2,0,0,0,0,0,0.0,
AHO1996,AHO,1996,Swimming,Individual,1,0,1,0,0,0,0,0,0.0,
AHO2000,AHO,2000,Athletics,Individual,2,1,1,0,0,0,0,0,50.0,
AHO2000,AHO,2000,Equestrianism,Individual,1,0,1,0,0,0,0,0,0.0,
AHO2000,AHO,2000,Sailing,Individual,1,0,1,0,0,0,0,0,0.0,
AHO2000,AHO,2000,Shooting,Individual,1,0,1,0,0,0,0,0,0.0,
AHO2000,AHO,2000,Swimming,Individual,2,0,2,0,0,0,0,0,0.0,
AHO2000,AHO,2000,Triathlon,Individual,1,0,1,0,0,0,0,0,0.0,
AHO2004,AHO,2004,Athletics,Individual,2,0,2,0,0,0,0,0,0.0,
AHO2004,AHO,2004,Equestrianism,Individual,1,0,1,0,0,0,0,0,0.0,
AHO2008,AHO,2008,Athletics,Individual,2,0,2,0,0,0,0,0,0.0,
AHO2008,AHO,2008,Shooting,Individual,1,0,1,0,0,0,0,0,0.0,
AHO2008,AHO,2008,Swimming,Individual,1,0,1,0,0,0,0,0,0.0,
ALB1972,ALB,1972,Shooting,Individual,4,1,3,0,0,0,0,0,25.0,
ALB1972,ALB,1972,Weightlifting,Individual,1,0,1,0,0,0,0,0,0.0,
ALB1992,ALB,1992,Athletics,Individual,1,1,0,0,0,0,0,0,100.0,
ALB1992,ALB,1992,Shooting,Individual,2,1,1,0,0,0,0,0,50.0,
ALB1992,ALB,1992,Swimming,Individual,3,0,3,0,0,0,0,0,0.0,
ALB1992,ALB,1992,Weightlifting,Individual,3,0,3,0,0,0,0,0,0.0,
ALB1996,ALB,1996,Athletics,Individual,2,2,0,0,0,0,0,0,100.0,
ALB1996,ALB,1996,Cycling,Individual,1,0,1,0,0,0,0,0,0.0,
ALB1996,ALB,1996,Shooting,Individual,4,4,0,0,0,0,0,0,100.0,
ALB1996,ALB,1996,Weightlifting,Individual,1,0,1,0,0,0,0,0,0.0,
ALB1996,ALB,1996,Wrestling,Individual,1,0,1,0,0,0,0,0,0.0,
ALB2000,ALB,2000,Athletics,Individual,2,1,1,0,0,0,0,0,50.0,
ALB2000,ALB,2000,Shooting,Individual,2,2,0,0,0,0,0,0,100.0,
ALB2000,ALB,2000,Weightlifting,Individual,1,0,1,0,0,0,0,0,0.0,
ALB2004,ALB,2004,Athletics,Individual,2,1,1,0,0,0,0,0,50.0,
ALB2004,ALB,2004,Swimming,Individual,2,1,1,0,0,0,0,0,50.0,
ALB2004,ALB,2004,Weightlifting,Individual,2,0,2,0,0,0,0,0,0.0,
ALB2004,ALB,2004,Wrestling,Individual,1,0,1,0,0,0,0,0,0.0,
ALB2008,ALB,2008,Athletics,Individual,2,1,1,0,0,0,0,0,50.0,
ALB2008,ALB,2008,Judo,Individual,1,0,1,0,0,0,0,0,0.0,
ALB2008,ALB,2008,Shooting,Individual,2,2,0,0,0,0,0,0,100.0,
ALB2008,ALB,2008,Swimming,Individual,2,1,1,0,0,0,0,0,50.0,
ALB2008,ALB,2008,Weightlifting,Individual,3,1,2,0,0,0,0,0,33.33333333333333,
ALB2008,ALB,2008,Wrestling,Individual,2,0,2,0,0,0,0,0,0.0,
ALB2012,ALB,2012,Athletics,Individual,1,0,1,0,0,0,0,0,0.0,
ALB2012,ALB,2012,Judo,Individual,1,1,0,0,0,0,0,0,100.0,
ALB2012,ALB,2012,Shooting,Individual,2,0,2,0,0,0,0,0,0.0,
ALB2012,ALB,2012,Swimming,Individual,2,1,1,0,0,0,0,0,50.0,
ALB2012,ALB,2012,Weightlifting,Individual,4,1,3,0,0,0,0,0,25.0,
ALB2016,ALB,2016,Athletics,Individual,2,1,1,0,0,0,0,0,50.0,
ALB2016,ALB,2016,Swimming,Individual,2,1,1,0,0,0,0,0,50.0,
ALB2016,ALB,2016,Weightlifting,Individual,2,1,1,0,0,0,0,0,50.0,
ALG1964,ALG,1964,Gymnastics,Individual,7,0,7,0,0,0,0,0,0.0,
ALG1968,ALG,1968,Boxing,Individual,2,0,2,0,0,0,0,0,0.0,
ALG1968,ALG,1968,Gymnastics,Individual,7,0,7,0,0,0,0,0,0.0,
ALG1972,ALG,1972,Athletics,Individual,6,0,6,0,0,0,0,0,0.0,
ALG1972,ALG,1972,Boxing,Individual,1,0,1,0,0,0,0,0,0.0,
ALG1980,ALG,1980,Athletics,Individual,13,0,13,0,0,0,0,0,0.0,
ALG1980,ALG,1980,Boxing,Individual,2,0,2,0,0,0,0,0,0.0,
ALG1980,ALG,1980,Fencing,Individual,1,0,1,0,0,0,0,0,0.0,
ALG1980,ALG,1980,Football,Team,14,0,14,0,0,0,0,0,0.0,
ALG1980,ALG,1980,Handball,Team,14,0,14,0,0,0,0,0,0.0,
ALG1980,ALG,1980,Judo,Individual,3,0,3,0,0,0,0,0,0.0,
ALG1980,ALG,1980,Swimming,Individual,10,0,10,0,0,0,0,0,0.0,
ALG1980,ALG,1980,Weightlifting,Individual,3,0,3,0,0,0,0,0,0.0,
ALG1980,ALG,1980,Wrestling,Individual,3,0,3,0,0,0,0,0,0.0,
ALG1984,ALG,1984,Athletics,Individual,9,0,9,0,0,0,0,0,0.0,
ALG1984,ALG,1984,Boxing,Individual,7,0,7,2,0,0,0,2,0.0,0.0
ALG1984,ALG,1984,Handball,Team,15,0,15,0,0,0,0,0,0.0,
ALG1984,ALG,1984,Weightlifting,Individual,2,0,2,0,0,0,0,0,0.0,
ALG1988,ALG,1988,Athletics,Individual,15,2,13,0,0,0,0,0,13.333333333333334,
ALG1988,ALG,1988,Boxing,Individual,6,0,6,0,0,0,0,0,0.0,
ALG1988,ALG,1988,Cycling,Individual,2,0,2,0,0,0,0,0,0.0,
