Year,Nation,Total medals,Total gold medals,Event number,Gold perf indicator,Perf indicator,Period
1896,Australia,3,2,43,0.0465,0.0233,Before 1981
1896,Austria,5,2,43,0.0465,0.0388,Before 1981
1896,Denmark,6,1,43,0.0233,0.0465,Before 1981
1896,France,11,5,43,0.1163,0.0853,Before 1981
1896,Germany,13,6,43,0.1395,0.1008,Before 1981
1896,Greece,44,10,43,0.2326,0.3411,Before 1981
1896,Hungary,4,2,43,0.0465,0.031,Before 1981
1896,Switzerland,3,1,43,0.0233,0.0233,Before 1981
1896,UK,8,3,43,0.0698,0.062,Before 1981
1896,USA,19,11,43,0.2558,0.1473,Before 1981
1900,Australia,5,2,89,0.0225,0.0187,Before 1981
1900,Austria,6,,89,,0.0225,Before 1981
1900,Belgium,17,6,89,0.0674,0.0637,Before 1981
1900,Canada,2,1,89,0.0112,0.0075,Before 1981
1900,Cuba,2,1,89,0.0112,0.0075,Before 1981
1900,Czech Republic,1,,89,,0.0037,Before 1981
1900,Denmark,6,2,89,0.0225,0.0225,Before 1981
1900,France,95,28,89,0.3146,0.3558,Before 1981
1900,Germany,6,2,89,0.0225,0.0225,Before 1981
1900,Hungary,5,1,89,0.0112,0.0187,Before 1981
1900,India,2,,89,,0.0075,Before 1981
1900,Italy,4,2,89,0.0225,0.015,Before 1981
1900,Luxembourg,1,1,89,0.0112,0.0037,Before 1981
1900,Netherlands,5,1,89,0.0112,0.0187,Before 1981
1900,Norway,5,,89,,0.0187,Before 1981
1900,Spain,1,1,89,0.0112,0.0037,Before 1981
1900,Sweden,1,,89,,0.0037,Before 1981
1900,Switzerland,8,6,89,0.0674,0.03,Before 1981
1900,UK,35,16,89,0.1798,0.1311,Before 1981
1900,USA,48,19,89,0.2135,0.1798,Before 1981
1904,Australia,4,,95,,0.014,Before 1981
1904,Austria,3,1,95,0.0105,0.0105,Before 1981
1904,Canada,6,4,95,0.0421,0.0211,Before 1981
1904,Cuba,4,4,95,0.0421,0.014,Before 1981
1904,France,2,,95,,0.007,Before 1981
1904,Germany,15,4,95,0.0421,0.0526,Before 1981
1904,Greece,2,1,95,0.0105,0.007,Before 1981
1904,Hungary,4,2,95,0.0211,0.014,Before 1981
1904,Norway,2,2,95,0.0211,0.007,Before 1981
1904,Switzerland,3,1,95,0.0105,0.0105,Before 1981
1904,UK,2,1,95,0.0105,0.007,Before 1981
1904,USA,228,75,95,0.7895,0.8,Before 1981
1906,Australia,3,,74,,0.0135,Before 1981
1906,Austria,9,3,74,0.0405,0.0405,Before 1981
1906,Belgium,7,2,74,0.027,0.0315,Before 1981
1906,Canada,2,1,74,0.0135,0.009,Before 1981
1906,Czech Republic,2,,74,,0.009,Before 1981
1906,Denmark,6,3,74,0.0405,0.027,Before 1981
1906,Finland,4,2,74,0.027,0.018,Before 1981
1906,France,40,15,74,0.2027,0.1802,Before 1981
1906,Germany,13,4,74,0.0541,0.0586,Before 1981
1906,Greece,34,8,74,0.1081,0.1532,Before 1981
1906,Hungary,10,2,74,0.027,0.045,Before 1981
1906,Italy,16,7,74,0.0946,0.0721,Before 1981
1906,Netherlands,3,,74,,0.0135,Before 1981
1906,Norway,2,1,74,0.0135,0.009,Before 1981
1906,Sweden,14,2,74,0.027,0.0631,Before 1981
1906,Switzerland,8,4,74,0.0541,0.036,Before 1981
1906,UK,25,8,74,0.1081,0.1126,Before 1981
1906,USA,21,12,74,0.1622,0.0946,Before 1981
1908,Australia,5,1,109,0.0092,0.0153,Before 1981
1908,Austria,1,,109,,0.0031,Before 1981
1908,Belgium,8,1,109,0.0092,0.0245,Before 1981
1908,Canada,15,3,109,0.0275,0.0459,Before 1981
1908,Czech Republic,2,,109,,0.0061,Before 1981
1908,Denmark,5,,109,,0.0153,Before 1981
1908,Finland,5,1,109,0.0092,0.0153,Before 1981
1908,France,19,5,109,0.0459,0.0581,Before 1981
1908,Germany,11,3,109,0.0275,0.0336,Before 1981
1908,Greece,2,,109,,0.0061,Before 1981
1908,Hungary,8,3,109,0.0275,0.0245,Before 1981
1908,Italy,4,2,109,0.0183,0.0122,Before 1981
1908,Netherlands,1,,109,,0.0031,Before 1981
1908,Norway,8,2,109,0.0183,0.0245,Before 1981
1908,Russia,3,1,109,0.0092,0.0092,Before 1981
1908,South Africa,2,1,109,0.0092,0.0061,Before 1981
1908,Sweden,24,8,109,0.0734,0.0734,Before 1981
1908,UK,141,56,109,0.5138,0.4312,Before 1981
1908,USA,45,22,109,0.2018,0.1376,Before 1981
1912,Australia,7,2,106,0.0189,0.022,Before 1981
1912,Austria,4,,106,,0.0126,Before 1981
1912,Belgium,6,2,106,0.0189,0.0189,Before 1981
1912,Canada,8,3,106,0.0283,0.0252,Before 1981
1912,Denmark,12,1,106,0.0094,0.0377,Before 1981
1912,Finland,25,9,106,0.0849,0.0786,Before 1981
1912,France,15,7,106,0.066,0.0472,Before 1981
1912,Germany,26,6,106,0.0566,0.0818,Before 1981
1912,Greece,2,1,106,0.0094,0.0063,Before 1981
1912,Hungary,8,3,106,0.0283,0.0252,Before 1981
1912,Italy,8,5,106,0.0472,0.0252,Before 1981
1912,Netherlands,3,,106,,0.0094,Before 1981
1912,Norway,9,4,106,0.0377,0.0283,Before 1981
1912,Russia,4,,106,,0.0126,Before 1981
1912,South Africa,6,4,106,0.0377,0.0189,Before 1981
1912,Sweden,63,23,106,0.217,0.1981,Before 1981
1912,Switzerland,1,1,106,0.0094,0.0031,Before 1981
1912,UK,41,10,106,0.0943,0.1289,Before 1981
1912,USA,61,25,106,0.2358,0.1918,Before 1981
1920,Australia,3,,154,,0.0065,Before 1981
1920,Belgium,40,15,154,0.0974,0.0866,Before 1981
1920,Brazil,3,1,154,0.0065,0.0065,Before 1981
1920,Canada,9,3,154,0.0195,0.0195,Before 1981
