Nation,NOC,Year,Sport,Event,Medal
Denmark,DEN,1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Finland,FIN,1920,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
Finland,FIN,1920,Swimming,Swimming Men's 400 metres Breaststroke,Bronze
Finland,FIN,1948,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
Finland,FIN,1948,Gymnastics,Gymnastics Men's Team All-Around,Gold
Finland,FIN,1948,Gymnastics,Gymnastics Men's Horse Vault,Gold
Finland,FIN,1948,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Finland,FIN,1952,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Norway,NOR,2008,Handball,Handball Women's Handball,Gold
Norway,NOR,1920,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
Netherlands,NED,1988,Hockey,Hockey Women's Hockey,Bronze
Netherlands,NED,1996,Rowing,Rowing Men's Lightweight Double Sculls,Silver
Norway,NOR,1996,Football,Football Women's Football,Bronze
Norway,NOR,1912,Sailing,Sailing Mixed 8 metres,Gold
France,FRA,1956,Cycling,"Cycling Men's Road Race, Team",Gold
Italy,ITA,2016,Rowing,Rowing Men's Coxless Pairs,Bronze
Spain,ESP,2008,Fencing,"Fencing Men's epee, Individual",Bronze
Azerbaijan,AZE,2016,Taekwondo,Taekwondo Women's Flyweight,Bronze
Russia,RUS,2008,Athletics,Athletics Women's Javelin Throw,Silver
Belarus,BLR,2008,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
France,FRA,2008,Handball,Handball Men's Handball,Gold
France,FRA,2012,Handball,Handball Men's Handball,Gold
France,FRA,2016,Handball,Handball Men's Handball,Silver
Cameroon,CMR,2000,Football,Football Men's Football,Gold
Spain,ESP,1996,Water Polo,Water Polo Men's Water Polo,Gold
USA,USA,2004,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Spain,ESP,1980,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
Spain,ESP,1984,Athletics,"Athletics Men's 1,500 metres",Bronze
Russia,RUS,2004,Cycling,Cycling Women's Sprint,Silver
Hungary,HUN,1992,Fencing,"Fencing Men's Sabre, Team",Silver
Hungary,HUN,1936,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Italy,ITA,1936,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
Italy,ITA,1988,Rowing,Rowing Men's Quadruple Sculls,Gold
Italy,ITA,1996,Rowing,Rowing Men's Double Sculls,Gold
Italy,ITA,2000,Rowing,Rowing Men's Quadruple Sculls,Gold
Italy,ITA,1984,Rowing,Rowing Men's Coxed Pairs,Gold
Italy,ITA,1988,Rowing,Rowing Men's Coxed Pairs,Gold
Italy,ITA,1992,Rowing,Rowing Men's Coxed Pairs,Silver
Greece,GRE,1906,Football,Football Men's Football,Bronze
Australia,AUS,2008,Hockey,Hockey Men's Hockey,Bronze
USA,USA,1900,Golf,Golf Women's Individual,Gold
USA,USA,2008,Softball,Softball Women's Softball,Silver
USA,USA,2004,Taekwondo,Taekwondo Women's Featherweight,Silver
Iran,IRI,2016,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
Canada,CAN,1984,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Pakistan,PAK,1960,Hockey,Hockey Men's Hockey,Gold
Pakistan,PAK,1964,Hockey,Hockey Men's Hockey,Silver
Russia,URS,1972,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Uzbekistan,UZB,2000,Boxing,Boxing Men's Light-Welterweight,Gold
Azerbaijan,AZE,1996,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
Azerbaijan,AZE,2000,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
USA,USA,2000,Basketball,Basketball Men's Basketball,Gold
Tajikistan,TJK,2008,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
Russia,EUN,1992,Athletics,Athletics Men's Hammer Throw,Gold
Ethiopia,ETH,1992,Athletics,"Athletics Men's 10,000 metres",Bronze
Switzerland,SUI,1924,Football,Football Men's Football,Silver
Germany,GDR,1972,Gymnastics,Gymnastics Women's Team All-Around,Silver
Canada,CAN,2012,Diving,Diving Women's Synchronized Springboard,Bronze
Norway,NOR,1920,Sailing,Sailing Mixed 7 metres,Silver
Spain,ESP,1992,Football,Football Men's Football,Gold
USA,USA,1900,Rowing,Rowing Men's Coxed Eights,Gold
USA,USA,1904,Rowing,Rowing Men's Coxed Eights,Gold
Ethiopia,ETH,2000,Athletics,Athletics Men's Marathon,Gold
Sweden,SWE,1912,Athletics,Athletics Men's Long Jump,Bronze
Sweden,SWE,1912,Athletics,Athletics Men's Triple Jump,Silver
USA,USA,2000,Baseball,Baseball Men's Baseball,Gold
South Africa,RSA,1956,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Turkey,TUR,2008,Athletics,"Athletics Women's 5,000 metres",Silver
Bulgaria,BUL,1980,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
USA,USA,1932,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Russia,RUS,2012,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
Russia,RUS,2012,Gymnastics,Gymnastics Men's Horse Vault,Silver
Russia,RUS,2016,Gymnastics,Gymnastics Men's Team All-Around,Silver
Russia,RUS,2016,Gymnastics,Gymnastics Men's Horse Vault,Silver
Russia,RUS,2016,Gymnastics,Gymnastics Men's Rings,Bronze
Russia,URS,1972,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Russia,URS,1972,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Australia,AUS,2016,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Egypt,EGY,2012,Fencing,"Fencing Men's Foil, Individual",Silver
Hungary,HUN,1988,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
Hungary,HUN,1988,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Hungary,HUN,1992,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
UK,GBR,1980,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Sweden,SWE,2004,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
UK,GBR,1924,Athletics,Athletics Men's 100 metres,Gold
UK,GBR,1924,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Norway,NOR,1912,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Sweden,SWE,1920,Athletics,Athletics Men's Long Jump,Bronze
Russia,RUS,2004,Volleyball,Volleyball Men's Volleyball,Bronze
Russia,URS,1964,Volleyball,Volleyball Women's Volleyball,Silver
Spain,ESP,2016,Basketball,Basketball Men's Basketball,Bronze
Russia,RUS,2008,Basketball,Basketball Women's Basketball,Bronze
Russia,URS,1980,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
France,FRA,2004,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
France,FRA,2008,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
Jordan,JOR,2016,Taekwondo,Taekwondo Men's Featherweight,Gold
Japan,JPN,1964,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Russia,URS,1980,Fencing,"Fencing Men's epee, Team",Bronze
Russia,URS,1980,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Romania,ROU,2008,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Spain,ESP,1920,Football,Football Men's Football,Silver
Puerto Rico,PUR,1992,Boxing,Boxing Men's Welterweight,Bronze
Mexico,MEX,1984,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
Ghana,GHA,1992,Football,Football Men's Football,Bronze
Switzerland,SUI,1984,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Morocco,MAR,1988,Boxing,Boxing Men's Featherweight,Bronze
Morocco,MAR,1992,Boxing,Boxing Men's Bantamweight,Bronze
Netherlands,NED,2012,Rowing,Rowing Women's Coxed Eights,Bronze
Netherlands,NED,2016,Rowing,Rowing Women's Quadruple Sculls,Silver
Sweden,SWE,1920,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
New Zealand,NZL,1976,Hockey,Hockey Men's Hockey,Gold
USA,USA,1920,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Argentina,ARG,2008,Football,Football Men's Football,Gold
Cuba,CUB,2008,Boxing,Boxing Men's Heavyweight,Bronze
Uruguay,URU,1952,Basketball,Basketball Men's Basketball,Bronze
Poland,POL,1980,Boxing,Boxing Men's Lightweight,Bronze
USA,USA,1936,Rowing,Rowing Men's Coxed Eights,Gold
Czech Republic,TCH,1976,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
Germany,GER,1936,Fencing,"Fencing Men's Foil, Team",Bronze
France,FRA,1948,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Poland,POL,1992,Football,Football Men's Football,Silver
USA,USA,1912,Athletics,Athletics Men's Standing High Jump,Silver
USA,USA,1912,Athletics,Athletics Men's Standing Long Jump,Bronze
USA,USA,1904,Swimming,Swimming Men's Plunge For Distance,Silver
USA,USA,1912,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold
UK,GBR,1980,Judo,Judo Men's Lightweight,Silver
UK,GBR,1984,Judo,Judo Men's Half-Middleweight,Silver
UK,GBR,2012,Boxing,Boxing Women's Flyweight,Gold
UK,GBR,2016,Boxing,Boxing Women's Flyweight,Gold
USA,USA,1912,Athletics,Athletics Men's Standing High Jump,Gold
USA,USA,1912,Athletics,Athletics Men's Standing Long Jump,Silver
USA,USA,2016,Volleyball,Volleyball Women's Volleyball,Bronze
New Zealand,NZL,2008,Athletics,Athletics Women's Shot Put,Gold
